CIP_Short|CIP_Code|CIPTitle|Description|CrossReferences|Groups|Old_CIP_Code|Created_Date|Modified_Date|Inactive
00|000000|DISTANCE LEARNING|NULL|NULL|NULL|NULL|2010-01-01 00:00:00.000|2020-04-15 16:30:29.810|Y
00|005000|CLASSES OFFERED - NOT COUNTED|CLASSES OFFERED - NOT COUNTED|NULL|NULL|NULL|2010-01-01 00:00:00.000|2020-04-15 16:30:29.810|Y
00|131105|ASSESSMENT|BELOW THE LINE - NOT COUNTED|NULL|NULL|NULL|2010-01-01 00:00:00.000|2020-04-15 16:30:29.810|Y
01|01|AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS.|Instructional programs that focus on agriculture, animal, plant, veterinary, and related sciences and that prepares individuals to apply specific knowledge, methods, and techniques to the management and performance of agricultural and veterinary operations.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|0100|Agriculture, General.|Instructional content is defined in code 01.0000.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010000|Agriculture, General.|A program that focuses on the general principles and practice of agricultural research and production and that may prepare individuals to apply this knowledge to the solution of practical agricultural problems.  Includes instruction in basic animal, plant, and soil science; animal husbandry and plant cultivation; soil conservation; and agricultural operations such as farming, ranching, and agricultural business.|14.0301 - Agricultural Engineering.|STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|0101|Agricultural Business and Management.|Instructional content for this group of programs is defined in codes 01.0101 - 01.0199.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010101|Agricultural Business and Management, General.|A  general program that focuses on modern business and economic principles involved in the organization, operation, and management of agricultural enterprises.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010102|Agribusiness/Agricultural Business Operations.|A program that prepares individuals to manage agricultural businesses and agriculturally related operations within diversified corporations.  Includes instruction in agriculture, agricultural specialization, business management, accounting, finance, marketing, planning, human resources management, and other managerial responsibilities.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010103|Agricultural Economics.|A program that focuses on the application of economics to the analysis of resource allocation, productivity, investment, and trends in the agricultural sector, both domestically and internationally.  Includes instruction in economics and related subfields as well as applicable agricultural fields.|03.0204 - Environmental/Natural Resource Economics.|STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010104|Farm/Farm and Ranch Management.|A program that prepares individuals to manage farms, ranches, and similar enterprises.  Includes instruction in applicable agricultural specialization, business management, accounting, taxation, capitalization, purchasing, government programs and regulations, operational planning and budgeting, contracts and negotiation, and estate planning.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010105|Agricultural/Farm Supplies Retailing and Wholesaling.|A program  that prepares individuals to sell agricultural products and supplies, provide support services to agricultural enterprises, and purchase and market agricultural products.  Includes instruction in basic business management, marketing, retailing and wholesaling operations, and applicable principles of agriculture and agricultural operations.|52.1803 - Retailing and Retail Operations., 52.1901 - Auctioneering., 52.0202 - Purchasing, Procurement/Acquisitions and Contracts Management.|STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010106|Agricultural Business Technology/Technician.|A program that prepares individuals to perform specialized support functions related to agricultural business offices and operations and to operate agricultural office equipment, software, and information systems.  Includes instruction in basic agricultural business principles, office management, equipment operation, standard software, and database management.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010199|Agricultural Business and Management, Other.|Any instructional program in agricultural business and management not listed above.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|0102|Agricultural Mechanization.|Instructional content for this group of programs is defined in codes 01.0201 - 01.0299.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010201|Agricultural Mechanization, General.|A program that generally prepares individuals to sell, select, and service agricultural or agribusiness technical equipment and facilities, including computers, specialized software, power units, machinery, equipment structures, and utilities.  Includes instruction in agricultural power systems, planning and selecting materials for the construction of support facilities, mechanical practices associated with irrigation and water conservation, erosion control, and agricultural data processing systems.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010204|Agricultural Power Machinery Operation.|A program that prepares individuals to operate specialized farm, ranch, and agribusiness power equipment of a stationary, mobile, or hand-operated nature. Includes instruction in operating specialized equipment such as terrestrial and airborne crop-spraying equipment; tractors and hauling equipment; planting and harvesting equipment; cutting equipment; power sources and systems for silos, irrigation, pumping, and applications such as dairy, feeding and shearing operations; processing equipment; and applicable electrical, mechanical, and safety principles.|49.0202 - Construction/Heavy Equipment/Earthmoving Equipment Operation.|STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010205|Agricultural Mechanics and Equipment/Machine Technology/Technician.|A program that prepares individuals to maintain and repair specialized farm, ranch, and agribusiness power equipment and vehicles.  Includes instruction in the principles of diesel, combustion, electrical, steam, hydraulic, and mechanical systems and their application to the maintenance of terrestrial and airborne crop-spraying equipment; tractors and hauling equipment; planting and harvesting equipment; cutting equipment; power sources and systems for silos; irrigation and pumping equipment; dairy, feeding, and shearing operations; and processing systems.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010207|Irrigation Management Technology/Technician.|A program that prepares individuals for employment in the field of agricultural technology and irrigation. Includes instruction in irrigation and drainage methodologies, pumping and delivery systems, system design and evaluation, and principles of installation and repair of irrigation systems.||NULL|NULL|2020-04-15 14:26:57.863|NULL|N
01|010299|Agricultural Mechanization, Other.|Any instructional program in agricultural mechanization not listed above.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|0103|Agricultural Production Operations.|Instructional content for this group of programs is defined in codes 01.0301 - 01.0399.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010301|Agricultural Production Operations, General.|A program that focuses on the general planning, economics, and use of facilities, natural resources, equipment, labor, and capital to produce plant and animal products, and that may prepare individuals for work in farming, ranching, and agribusiness.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010302|Animal/Livestock Husbandry and Production.|A program that prepares individuals to select, breed, care for, process, and market livestock and small farm animals.  Includes instruction in basic animal science, animal nutrition, and animal health as applied to various species and breeds; design and operation of housing, feeding, and processing facilities; and related issues of safety, applicable regulations, logistics, and supply.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010303|Aquaculture.|A program that prepares individuals to select, culture, propagate, harvest, and market domesticated fish, shellfish, and marine plants, both freshwater and saltwater.  Includes instruction in the basic principles of aquatic and marine biology; health and nutrition of aquatic and marine life; design and operation of fish farms, breeding facilities, culture beds, and related enterprises; and related issues of safety, applicable regulations, logistics, and supply.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010304|Crop Production.|A program that prepares individuals to cultivate grain, fiber, forage, oilseed, fruits and nuts, vegetables, and other domesticated plant products.  Includes instruction in basic principles of plant science, health, and nutrition as applied to particular species and breeds; soil preparation and irrigation; pest management; planting and harvesting operations; product marketing; and applicable issues of safety, regulation, logistics, and supply.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010306|Dairy Husbandry and Production.|A program that prepares individuals to manage the selection and care of dairy animals and associated dairy farm and processing facilities and operations.  Includes instruction in basic animal and dairy science; dairy animal nutrition and health; design and operation of dairy housing, feeding, and processing facilities and equipment; and related issues of safety, sanitation, shipping and handling, and applicable regulations.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010307|Horse Husbandry/Equine Science and Management.|A program that prepares individuals to manage the selection, breeding, care, and maintenance of work, athletic, and show horses; and to manage horse farms, stables, tracks and related equipment and operations.  Includes instruction in applicable principles of animal science, care, and health; stable and track management; design and operation of facilities and equipment; and related issues such as regulations, business management; and logistics.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010308|Agroecology and Sustainable Agriculture.|A program that focuses on agricultural principles and practices that, over the long term, enhance environmental quality, make efficient use of nonrenewable resources, integrate natural biological cycles and controls, and are economically viable and socially responsible; and that may prepare individuals to apply this knowledge to the solution of agricultural and environmental problems. Includes instruction in principles of agroecology, crop and soil sciences, entomology, horticulture, animal science, weed science and management, soil fertility and nutrient cycling, applied ecology, agricultural economics, and rangeland ecology and watershed management.|30.3301 - Sustainability Studies.|STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010309|Viticulture and Enology.|Moved from 01.0309 to 01.1004||STEM|NULL|2010-01-01 00:00:00.000|2020-04-15 16:38:55.387|Y
01|010310|Apiculture.|A program that focuses on improving the beekeeping industry, promoting pollination of fruits and vegetables, and bee colony expansion and maintenance. Includes instruction in apiary behavior, apiary equipment and supplies, beekeeping, bee pests and parasites, handling bees, hive set up and care, queen rearing, and seasonal management practices.|36.0120 - Beekeeping.|NULL|NULL|2020-04-15 14:26:57.863|NULL|N
01|010399|Agricultural Production Operations, Other.|Any instructional program in agricultural production operations not listed above.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|0104|Agricultural and Food Products Processing.|Instructional content for this group of programs is defined in codes 01.0401 - 01.0480.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010401|Agricultural and Food Products Processing.|A program that prepares individuals to receive, inspect, store, process, and package agricultural products in the form of human food consumables, animal or plant food, or other industrial products.  Includes instruction in the nutrient and industrial properties of various agricultural products; logistics and storage procedures; chemical and mechanical processing operations; packaging; safety and health requirements; and related technical and business principles.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010480|Reserved.|Reserved for use by Statistics Canada. This CIP code is not valid for IPEDS reporting.||NULL|NULL|2020-04-15 14:26:57.863|NULL|N
01|0105|Agricultural and Domestic Animal Services.|Instructional content for this group of programs is defined in codes 01.0504 - 01.0599.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010504|Dog/Pet/Animal Grooming.|A program that prepares individuals to provide cosmetic services for household pets, show animals, work animals and animal athletes.  Includes instruction in skin, coat, and pelt grooming and styling; skin care; hoof, nail, and claw care; animal massage; minor first aid and veterinary referral; animal grooming products and applications; health and safety; and applicable regulations.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010505|Animal Training.|A program that prepares individuals to teach and exercise animals for leisure, sport, show, and professional purposes.  Includes instruction in animal psychology, health, and safety; human-animal interaction; learning and behavior styles associated with different breeds and species; and the technical and pedagogical aspects of training animals for such specific functions as obedient household pets, performing show animals, animal athletes, caregiving (e.g., seeing-eye dogs), search and rescue, and police/security work.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010507|Equestrian/Equine Studies.|A program that focuses on the horse, horsemanship, and related subjects and prepares individuals to care for horses and horse equipment; ride and drive horses for leisure, sport, show, and professional purposes; and manage the training of horses and riders.  Includes instruction in horse breeding, nutrition, health, and safety; history of the horse and horsemanship; horse development and training; riding and equestrian technique; stable, paddock, and track management; and equipment maintenance and repair.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010508|Taxidermy/Taxidermist.|A program that prepares individuals to reproduce life-like three-dimensional representations of living animals for permanent display using elements of the deceased specimen(s) as well as artificial materials, and to manage taxidermy services and businesses.  Includes instruction in specimen grading and selection, caping and fleshing, preservation procedures, tanning, drying, measurements, form and armature construction, carpentry and woodworking, molding and casting, drawing, sculptural techniques, painting and finishing techniques, basic business operations, customer communications, and applicable laws and regulations.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010509|Farrier Science.|A program of study that prepares individuals to become specialists in equine hoof care (farriers). Includes instruction in equine science, equine health and first aid, general horseshoeing, corrective horseshoeing, gait analysis, and metal forging techniques using gas or coal.||NULL|NULL|2020-04-15 14:26:57.863|NULL|N
01|010599|Agricultural and Domestic Animal Services, Other.|Any instructional program in agricultural and domestic animal services not listed above.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|0106|Applied Horticulture and Horticultural Business Services.|Instructional content for this group of programs is defined in codes 01.0601 - 01.0699.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010601|Applied Horticulture/Horticulture Operations, General.|A program that focuses on the general production and processing of domesticated plants, shrubs, flowers, foliage, trees, groundcovers, and related plant materials; the management of technical and business operations connected with horticultural services; and the basic scientific principles needed to understand plants and their management and care.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010603|Ornamental Horticulture.|A program that focuses on  domesticated plants and plant materials used for decorative and recreational applications and prepares individuals to breed, grow, and utilize ornamental plant varieties for commercial and aesthetic purposes.  Includes instruction in applicable plant science subjects, the environmental design and artistic aspects of horticultural product usage, and the management of horticultural operations.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010604|Greenhouse Operations and Management.|A program that prepares individuals to produce, store, and deliver plant species in controlled indoor environments for wholesale, commercial, research, or other purposes.  Includes instruction in applicable principles of plant science; climate, irrigation, and nutrition control equipment operation and maintenance; facilities management; inventory control; safety procedures; and personnel supervision.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010605|Landscaping and Groundskeeping.|A program that prepares individuals to manage and maintain indoor and/or outdoor ornamental and recreational plants and groundcovers and related conceptual designs established by landscape architects, interior designers, enterprise owners or managers, and individual clients.  Includes instruction in applicable principles of horticulture, gardening, plant and soil irrigation and nutrition, turf maintenance, plant maintenance, equipment operation and maintenance, personnel supervision, and purchasing.|04.0601 - Landscape Architecture.|STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010606|Plant Nursery Operations and Management.|A program that prepares individuals to operate and manage outdoor plant farms, tree and shrub nurseries, and related facilities that develop domesticated plant products for propagation, harvesting, and transplantation.  Includes instruction in applicable principles of plant science, farm and business management, nursery operations, equipment operation and maintenance, safety procedures, and personnel supervision.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010607|Turf and Turfgrass Management.|A program that focuses on turfgrasses and related groundcover plants and prepares individuals to develop ornamental or recreational grasses and related products; plant, transplant, and manage grassed areas; and to produce and store turf used for transplantation.  Includes instruction in applicable plant sciences, genetics of grasses, turf science, use analysis, turf management, and related economics.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010608|Floriculture/Floristry Operations and Management.|A program that prepares individuals to operate and manage commercial and contract florist enterprises, supply and delivery services, and flower catering services.  Includes instruction in the applicable principles of plant science; purchasing, storage, and delivery systems; floral design and arranging; and principles of business management.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010609|Public Horticulture.|A program of study that focuses on combining traditional horticulture and public education and outreach. Includes instruction in botany, soil science, plant science, agricultural economics, leadership, and business.|36.0123 - Master Gardener/Gardening.|NULL|NULL|2020-04-15 14:26:57.863|NULL|N
01|010610|Urban and Community Horticulture.|A program that focuses on principles and techniques for the production of horticultural crops in an urban environment. Includes instruction in ecology, environmental sustainability, food production systems, and plant and soil sciences.||NULL|NULL|2020-04-15 14:26:57.863|NULL|N
01|010680|Reserved.|Reserved for use by Statistics Canada. This CIP code is not valid for IPEDS reporting.||NULL|NULL|2020-04-15 14:26:57.863|NULL|N
01|010699|Applied Horticulture/Horticultural Business Services, Other.|Any instructional program in horticultural service operations not listed above.|03.0508 - Urban Forestry.|STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|0107|International Agriculture.|Instructional content is defined in code 01.0701.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010701|International Agriculture.|A program that focuses on the application of agricultural management and scientific principles to the problems of global food production and distribution, and to the study of the agricultural systems of other countries.  Includes instruction in agricultural economics; comparative agricultural systems; international agribusiness and law; third-world development studies and economic development; and global applications of climate, soil, water resources, ecological and environmental studies, and animal and plant sciences.|45.0604 - Development Economics and International Development.|STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|0108|Agricultural Public Services.|Instructional content for this group of programs is defined in codes 01.0801 - 01.0899.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010801|Agricultural and Extension Education Services.|A program that prepares individuals to provide referral, consulting, technical assistance, and educational services to gardeners, farmers, ranchers, agribusinesses, and other organizations.  Includes instruction in basic agricultural sciences, agricultural business operations, pest control, adult education methods, public relations, applicable state laws and regulations, and communication skills.|13.1301 - Agricultural Teacher Education., 45.1103 - Rural Sociology., 36.0123 - Master Gardener/Gardening.|STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010802|Agricultural Communication/Journalism.|A program that prepares individuals to apply journalistic, communication, and broadcasting principles to the development, production, and transmittal of agricultural information.  Includes instruction in basic journalism, broadcasting, film/video, and communication techniques; the production of technically specialized information products for agricultural audiences; and the principles of agricultural sciences and business operations needed to develop and communicate agricultural subject matter in effective ways.|09.0407 - Science/Health/Environmental Journalism.|STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010899|Agricultural Public Services, Other.|Any instructional program in general agricultural sciences and related services not listed above.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|0109|Animal Sciences.|Instructional content for this group of programs is defined in codes 01.0901 - 01.0999.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010901|Animal Sciences, General.|A general program that focuses on the scientific principles that underlie the breeding and husbandry of agricultural animals, and the production, processing, and distribution of agricultural animal products.  Includes instruction in the animal sciences, animal husbandry and production, and agricultural and food products processing.|26.0701 - Zoology/Animal Biology.|STEM|NULL|2010-01-01 00:00:00.000|NULL|N
01|010902|Agricultural Animal Breeding.|A program that focuses on the application of genetics and genetic engineering to the improvement of agricultural animal health, the development of new animal breeds, and the selective improvement of agricultural animal populations.  Includes instruction in genetics, genetic engineering, population genetics, animal health, animal husbandry, and biotechnology.|26.0804 - Animal Genetics.|STEM|NULL|2010-01-01 00:00:00.000|NULL|N
