CIP_CODE|CIP_COURSE|CIP_SHORT|SHORT_COURSE|PERKINS|CIP1999|PERKINS_PROGRAM|PERKINS_SECTION|NON_TRAD|UCAT_APPROVED|CIPTitle_2010
NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
000000|DISTANCE LEARNING|00|BELOW THE LINE - NOT COUNTED|NULL|NONE|NULL|NULL|NULL|Y|DISTANCE LEARNING
004000|DRIVERS EDUCATION|00|BELOW THE LINE - NOT COUNTED|NULL|NONE|NULL|NULL|NULL|Y|NULL
005000|CLASSES OFFERED - NOT COUNTED|00|BELOW THE LINE - NOT COUNTED|NULL|NONE|NULL|NULL|NULL|Y|CLASSES OFFERED - NOT COUNTED
010000|Agriculture, General|01|AGRICULTURE OPERATIONS, AND RELATED SCIENCES|NULL|020101|NULL|NULL|NULL|NULL|Agriculture, General.
010100|Agricultural Business and Management|01|AGRICULTURE OPERATIONS, AND RELATED SCIENCES|NULL|010100|NULL|NULL|NULL|NULL|NULL
010101|Agricultural Bus & Mgmt, General|01|AGRICULTURE OPERATIONS, AND RELATED SCIENCES|Y|010101|AGRICULTURE, CONSER/RENEWABLE NATURAL RESOURCES|AGRICULTURE AND NATURAL RESOURCES|F|NULL|Agricultural Business and Management, General.
010102|Agribusiness/Agricultural Business Operations|01|AGRICULTURE OPERATIONS, AND RELATED SCIENCES|Y|010102|AGRICULTURE, CONSER/RENEWABLE NATURAL RESOURCES|AGRICULTURE AND NATURAL RESOURCES|NULL|NULL|Agribusiness/Agricultural Business Operations.
010103|Agricultural Economics|01|AGRICULTURE OPERATIONS, AND RELATED SCIENCES|NULL|010103|NULL|NULL|NULL|NULL|Agricultural Economics.
010104|Farm & Ranch Mgmt|01|AGRICULTURE OPERATIONS, AND RELATED SCIENCES|NULL|010104|NULL|NULL|F|Y|Farm/Farm and Ranch Management.
010105|Agricultural/Farm Supp Retailing and Wholesaling|01|AGRICULTURE OPERATIONS, AND RELATED SCIENCES|NULL|010501|NULL|NULL|NULL|NULL|Agricultural/Farm Supplies Retailing and Wholesaling.
010106|Agricultural Business Technology|01|AGRICULTURE OPERATIONS, AND RELATED SCIENCES|NULL|NEW|NULL|NULL|NULL|NULL|Agricultural Business Technology.
010199|Agricultural Bus & Mgmt, Other|01|AGRICULTURE OPERATIONS, AND RELATED SCIENCES|Y|010199|AGRICULTURE, CONSER/RENEWABLE NATURAL RESOURCES|AGRICULTURE AND NATURAL RESOURCES|F|NULL|Agricultural Business and Management, Other.
010200|Agricultural Mechanization|01|AGRICULTURE OPERATIONS, AND RELATED SCIENCES|NULL|010200|NULL|NULL|NULL|NULL|NULL
