CIP_SHORT|CIP_CODE|CIPTitle|Description|CrossReferences|PERKINS|PERKINS_PROGRAM|Groups
00|000000|DISTANCE LEARNING|NULL|NULL|NULL|NULL|NULL
00|005000|CLASSES OFFERED - NOT COUNTED|CLASSES OFFERED - NOT COUNTED|NULL|NULL|NULL|NULL
00|131105|ASSESSMENT|BELOW THE LINE - NOT COUNTED|NULL|NULL|NULL|NULL
01|01|AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.|Instructional programs that focus on agriculture and related sciences and that prepare individuals to apply specific knowledge, methods, and techniques to the management and performance of agricultural operations.|NULL|NULL|NULL|STEM
01|0100|Agriculture, General.|Instructional content is defined in code 01.0000.|NULL|NULL|NULL|STEM
01|010000|Agriculture, General.|A program that focuses on the general principles and practice of agricultural research and production and that may prepare individuals to apply this knowledge to the solution of practical agricultural problems.  Includes instruction in basic animal, plant|14.0301 - Agricultural Engineering.|NULL|NULL|STEM
01|0101|Agricultural Business and Management.|Instructional content for this group of programs is defined in codes 01.0101 - 01.0199.|NULL|NULL|NULL|STEM
01|010101|Agricultural Business and Management, General.|A  general program that focuses on modern business and economic principles involved in the organization, operation, and management of agricultural enterprises.|NULL|NULL|AGRICULTURE, CONSER/RENEWABLE NATURAL RESOURCES|STEM
01|010102|Agribusiness/Agricultural Business Operations.|A program that prepares individuals to manage agricultural businesses and agriculturally related operations within diversified corporations.  Includes instruction in agriculture, agricultural specialization, business management, accounting, finance, marke|NULL|NULL|AGRICULTURE, CONSER/RENEWABLE NATURAL RESOURCES|STEM
01|010103|Agricultural Economics.|A program that focuses on the application of economics to the analysis of resource allocation, productivity, investment, and trends in the agricultural sector, both domestically and internationally.  Includes instruction in economics and related subfields|03.0204 - Natural Resource Economics.|NULL|NULL|STEM
01|010104|Farm/Farm and Ranch Management.|A program that prepares individuals to manage farms, ranches, and similar enterprises.  Includes instruction in applicable agricultural specialization, business management, accounting, taxation, capitalization, purchasing, government programs and regulati|NULL|NULL|NULL|STEM
