CIPCode2000|CIPTitle2000|Action|Text change|CIPCode2010|CIPTitle2010
NULL|NULL|New|no|010308|Agroecology and Sustainable Agriculture
NULL|NULL|New|no|010309|Viticulture and Enology
NULL|NULL|New|no|030207|Natural Resource Recreation and Tourism
NULL|NULL|New|no|030208|Natural Resources Law Enforcement and Protective Services
NULL|NULL|New|no|040902|Architectural and Building Sciences/Technology
NULL|NULL|New|no|040999|Architectural Sciences and Technology, Other
NULL|NULL|New|no|0410|Real Estate Development
NULL|NULL|New|no|041001|Real Estate Development
NULL|NULL|New|no|050133|Irish Studies
NULL|NULL|New|no|050134|Latin American and Caribbean Studies
NULL|NULL|New|no|050200|Ethnic Studies
NULL|NULL|New|no|050209|Folklore Studies
NULL|NULL|New|no|050210|Disability Studies
NULL|NULL|New|no|050211|Deaf Studies
NULL|NULL|New|no|090906|Sports Communication
NULL|NULL|New|no|090907|International and Intercultural Communication
NULL|NULL|New|no|090908|Technical and Scientific Communication
NULL|NULL|New|no|110104|Informatics
NULL|NULL|New|no|090100|Communication, General
NULL|NULL|New|no|110804|Modeling, Virtual Environments and Simulation
NULL|NULL|New|no|120509|Culinary Science/Culinology
NULL|NULL|New|no|120510|Wine Steward/Sommelier
NULL|NULL|New|no|111005|Information Technology Project Management
NULL|NULL|New|no|111006|Computer Support Specialist
NULL|NULL|New|no|130607|Learning Sciences
NULL|NULL|New|no|131017|Education/Teaching of Individuals in Elementary Special Education Programs
NULL|NULL|New|no|131018|Education/Teaching of Individuals in Junior High/Middle School Special Education Programs
NULL|NULL|New|no|131019|Education/Teaching of Individuals in Secondary Special Education Programs
NULL|NULL|New|no|131337|Earth Science Teacher Education
NULL|NULL|New|no|131338|Environmental Education
NULL|NULL|New|no|120414|Master Aesthetician/Esthetician
NULL|NULL|New|no|140102|Pre-Engineering
NULL|NULL|New|no|141003|Laser and Optical Engineering
NULL|NULL|New|no|141004|Telecommunications Engineering
NULL|NULL|New|no|141099|Electrical, Electronics and Communications Engineering, Other
NULL|NULL|New|no|140702|Chemical and Biomolecular Engineering
NULL|NULL|New|no|140799|Chemical Engineering, Other
NULL|NULL|New|no|1440|Paper Science and Engineering
NULL|NULL|New|no|144001|Paper Science and Engineering
NULL|NULL|New|no|1441|Electromechanical Engineering
NULL|NULL|New|no|144101|Electromechanical Engineering
NULL|NULL|New|no|1442|Mechatronics, Robotics, and Automation Engineering
NULL|NULL|New|no|144201|Mechatronics, Robotics, and Automation Engineering
NULL|NULL|New|no|1443|Biochemical Engineering
NULL|NULL|New|no|144301|Biochemical Engineering
NULL|NULL|New|no|1444|Engineering Chemistry
NULL|NULL|New|no|144401|Engineering Chemistry
NULL|NULL|New|no|1445|Biological/Biosystems Engineering
NULL|NULL|New|no|144501|Biological/Biosystems Engineering
NULL|NULL|New|no|150614|Welding Engineering Technology/Technician
NULL|NULL|New|no|150615|Chemical Engineering Technology/Technician
NULL|NULL|New|no|150616|Semiconductor Manufacturing Technology
NULL|NULL|New|no|160908|Hispanic and Latin American Languages, Literatures, and Linguistics, General
NULL|NULL|New|no|160105|Applied Linguistics
NULL|NULL|New|no|190710|Developmental Services Worker
NULL|NULL|New|no|090900|Public Relations, Advertising, and Applied Communication
NULL|NULL|New|no|150306|Integrated Circuit Design
NULL|NULL|New|no|150406|Automation Engineer Technology/Technician
NULL|NULL|New|no|220212|Intellectual Property Law
NULL|NULL|New|no|250102|Children and Youth Library Services
NULL|NULL|New|no|250103|Archives/Archival Administration
NULL|NULL|New|no|250199|Library Science and Administration, Other
NULL|NULL|New|no|2313|Rhetoric and Composition/Writing Studies
NULL|NULL|New|no|231301|Writing, General
NULL|NULL|New|no|231304|Rhetoric and Composition
NULL|NULL|New|no|231399|Rhetoric and Composition/Writing Studies, Other
NULL|NULL|New|no|2314|Literature
NULL|NULL|New|no|231401|General Literature
NULL|NULL|New|no|231405|Children's and Adolescent Literature
NULL|NULL|New|no|231499|Literature, Other
NULL|NULL|New|no|260508|Microbiology and Immunology
NULL|NULL|New|no|151502|Engineering Design
NULL|NULL|New|no|151503|Packaging Science
NULL|NULL|New|no|151599|Engineering-Related Fields, Other
NULL|NULL|New|no|1516|Nanotechnology
NULL|NULL|New|no|151601|Nanotechnology
NULL|NULL|New|no|260807|Genome Sciences/Genomics
NULL|NULL|New|no|260912|Aerospace Physiology and Medicine
NULL|NULL|New|no|261104|Computational Biology
NULL|NULL|New|no|2614|Molecular Medicine
NULL|NULL|New|no|261401|Molecular Medicine
NULL|NULL|New|no|2615|Neurobiology and Neurosciences
NULL|NULL|New|no|261504|Neurobiology and Behavior
NULL|NULL|New|no|261599|Neurobiology and Neurosciences, Other
NULL|NULL|New|no|280499|Navy/Marine Corps ROTC, Naval Science and Operations, Other
NULL|NULL|New|no|2805|Military Science and Operational Studies
NULL|NULL|New|no|280501|Air Science/Airpower Studies
NULL|NULL|New|no|280502|Air and Space Operational Art and Science
NULL|NULL|New|no|280503|Military Operational Art and Science/Studies
NULL|NULL|New|no|280504|Advanced Military and Operational Studies
NULL|NULL|New|no|280505|Naval Science and Operational Studies
NULL|NULL|New|no|280506|Special, Irregular and Counterterrorist Operations
NULL|NULL|New|no|280599|Military Science and Operational Studies, Other
NULL|NULL|New|no|2806|Security Policy and Strategy
NULL|NULL|New|no|280601|Strategic Studies, General
NULL|NULL|New|no|280602|Military and Strategic Leadership
