CIPCode2010|CIPTitle2010|Action|Text change|CIPCode2020|CIPTitle2020
NULL|NULL|New|No|010207|Irrigation Management Technology/Technician.
NULL|NULL|New|No|010310|Apiculture.
NULL|NULL|New|No|010480|Reserved.
NULL|NULL|New|No|010509|Farrier Science.
NULL|NULL|New|No|010609|Public Horticulture.
NULL|NULL|New|No|010610|Urban and Community Horticulture.
NULL|NULL|New|No|010680|Reserved.
NULL|NULL|New|No|0113|Agriculture/Veterinary Preparatory Programs.
NULL|NULL|New|No|011399|Agriculture/Veterinary Preparatory Programs, Other.
NULL|NULL|New|No|0182|Veterinary Administrative Services.
NULL|NULL|New|No|018201|Veterinary Administrative Services, General.
NULL|NULL|New|No|018202|Veterinary Office Management/Administration.
NULL|NULL|New|No|018203|Veterinary Reception/Receptionist.
NULL|NULL|New|No|018204|Veterinary Administrative/Executive Assistant and Veterinary Secretary.
NULL|NULL|New|No|018299|Veterinary Administrative Services, Other.
NULL|NULL|New|No|0183|Veterinary/Animal Health Technologies/Technicians.
NULL|NULL|New|No|018399|Veterinary/Animal Health Technologies/Technicians, Other.
NULL|NULL|New|No|030209|Energy and Environmental Policy.
NULL|NULL|New|No|030210|Bioenergy.
NULL|NULL|New|No|011003|Brewing Science.
NULL|NULL|New|No|011005|Zymology/Fermentation Science.
NULL|NULL|New|No|011180|Reserved.
NULL|NULL|New|No|040202|Architectural Design.
NULL|NULL|New|No|040299|Architecture, Other.
NULL|NULL|New|No|040802|Architectural Conservation.
NULL|NULL|New|No|040803|Architectural Studies.
NULL|NULL|New|No|040899|Architectural History, Criticism, and Conservation, Other.
NULL|NULL|New|No|040402|Healthcare Environment Design/Architecture.
NULL|NULL|New|No|040403|Sustainable Design/Architecture.
NULL|NULL|New|No|040499|Environmental Design, Other.
NULL|NULL|New|No|050135|Appalachian Studies.
NULL|NULL|New|No|050136|Arctic Studies.
NULL|NULL|New|No|090405|Business and Economic Journalism.
NULL|NULL|New|No|090406|Cultural Journalism.
NULL|NULL|New|No|090407|Science/Health/Environmental Journalism.
NULL|NULL|New|No|0599|Area, Ethnic, Cultural, Gender, and Group Studies, Other.
NULL|NULL|New|No|059999|Area, Ethnic, Cultural, Gender, and Group Studies, Other.
NULL|NULL|New|No|090909|Communication Management and Strategic Communications.
NULL|NULL|New|No|100204|Voice Writing Technology/Technician.
NULL|NULL|New|No|110902|Cloud Computing.
NULL|NULL|New|No|110999|Computer Systems Networking and Telecommunications, Other.
NULL|NULL|New|No|110204|Computer Game Programming.
NULL|NULL|New|No|110205|Computer Programming, Specific Platforms.
NULL|NULL|New|No|1206|Casino Operations and Services.
NULL|NULL|New|No|120601|Casino Operations and Services, General.
NULL|NULL|New|No|120602|Casino Dealing.
NULL|NULL|New|No|120699|Casino Operations and Services, Other.
NULL|NULL|New|No|130608|Institutional Research.
NULL|NULL|New|No|131211|Online Educator/Online Teaching.
NULL|NULL|New|No|131212|International Teaching and Learning.
NULL|NULL|New|No|131213|Science, Technology, Engineering, and Mathematics (STEM) Educational Methods.
NULL|NULL|New|No|131214|College/Postsecondary/University Teaching.
NULL|NULL|New|No|140202|Astronautical Engineering.
NULL|NULL|New|No|140299|Aerospace, Aeronautical, and Astronautical/Space Engineering, Other.
NULL|NULL|New|No|040200|Pre-Architecture Studies.
NULL|NULL|New|No|050212|Comparative Group Studies.
NULL|NULL|New|No|110105|Human-Centered Technology Design.
