CIP_Year|CIP_Code|CIP_Title|SOC_Year|SOC_Code|SOC_Title|Education_Requirement|Star_Rating
2020|010000|Agriculture, General.|2018|19-1011|Animal Scientists|NULL|NULL
2020|010000|Agriculture, General.|2018|19-1012|Food Scientists and Technologists|NULL|NULL
2020|010000|Agriculture, General.|2018|19-1013|Soil and Plant Scientists|NULL|NULL
2020|010000|Agriculture, General.|2018|19-4012|Agricultural Technicians|NULL|NULL
2020|010000|Agriculture, General.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|010101|Agricultural Business and Management, General.|2018|11-9013|Farmers, Ranchers, and Other Agricultural Managers|NULL|NULL
2020|010101|Agricultural Business and Management, General.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|010101|Agricultural Business and Management, General.|2018|45-1011|First-Line Supervisors of Farming, Fishing, and Forestry Workers|NULL|NULL
2020|010102|Agribusiness/Agricultural Business Operations.|2018|11-9013|Farmers, Ranchers, and Other Agricultural Managers|NULL|NULL
2020|010102|Agribusiness/Agricultural Business Operations.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|010103|Agricultural Economics.|2018|19-3011|Economists|NULL|NULL
2020|010103|Agricultural Economics.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|010103|Agricultural Economics.|2018|25-1063|Economics Teachers, Postsecondary|NULL|NULL
2020|010104|Farm/Farm and Ranch Management.|2018|11-9013|Farmers, Ranchers, and Other Agricultural Managers|NULL|NULL
2020|010104|Farm/Farm and Ranch Management.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|010104|Farm/Farm and Ranch Management.|2018|25-9021|Farm and Home Management Educators|NULL|NULL
2020|010104|Farm/Farm and Ranch Management.|2018|45-1011|First-Line Supervisors of Farming, Fishing, and Forestry Workers|NULL|NULL
2020|010105|Agricultural/Farm Supplies Retailing and Wholesaling.|2018|13-1021|Buyers and Purchasing Agents, Farm Products|NULL|NULL
2020|010105|Agricultural/Farm Supplies Retailing and Wholesaling.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|010105|Agricultural/Farm Supplies Retailing and Wholesaling.|2018|41-4012|Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products|High school diploma or equivalent|5
2020|010106|Agricultural Business Technology/Technician.|2018|15-1232|Computer User Support Specialists|NULL|NULL
2020|010106|Agricultural Business Technology/Technician.|2018|43-1011|First-Line Supervisors of Office and Administrative Support Workers|High school diploma or equivalent|4
2020|010199|Agricultural Business and Management, Other.|2018|11-9013|Farmers, Ranchers, and Other Agricultural Managers|NULL|NULL
2020|010199|Agricultural Business and Management, Other.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|010199|Agricultural Business and Management, Other.|2018|45-1011|First-Line Supervisors of Farming, Fishing, and Forestry Workers|NULL|NULL
2020|010201|Agricultural Mechanization, General.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|010201|Agricultural Mechanization, General.|2018|49-3041|Farm Equipment Mechanics and Service Technicians|NULL|NULL
2020|010204|Agricultural Power Machinery Operation.|2018|25-1041|Agricultural Sciences Teachers, Postsecondary|NULL|NULL
2020|010204|Agricultural Power Machinery Operation.|2018|45-2091|Agricultural Equipment Operators|NULL|NULL
2020|010204|Agricultural Power Machinery Operation.|2018|49-3041|Farm Equipment Mechanics and Service Technicians|NULL|NULL
2020|010205|Agricultural Mechanics and Equipment/Machine Technology/Technician.|2018|49-3011|Aircraft Mechanics and Service Technicians|Postsecondary non-degree award|5
2020|010205|Agricultural Mechanics and Equipment/Machine Technology/Technician.|2018|49-3041|Farm Equipment Mechanics and Service Technicians|NULL|NULL
2020|010205|Agricultural Mechanics and Equipment/Machine Technology/Technician.|2018|49-3042|Mobile Heavy Equipment Mechanics, Except Engines|High school diploma or equivalent|5
2020|010207|Irrigation Management Technology/Technician.|2018|25-1194|Career/Technical Education Teachers, Postsecondary|Bachelors degree|4
2020|010207|Irrigation Management Technology/Technician.|2018|49-3041|Farm Equipment Mechanics and Service Technicians|NULL|NULL
