inst|iname|crs_sbj|description
3671|DSU|ACCT|Accounting
3671|DSU|ANTH|Anthropology
3671|DSU|ART|Art
3671|DSU|ARTH|Art History
3671|DSU|ASC|Academic Support
3671|DSU|ASL|American Sign Language
3671|DSU|AUTO|Automotive
3671|DSU|BIOL|Biology
3671|DSU|BUS|Business
3671|DSU|CE|Continuing Education
3671|DSU|CED|Community Education
3671|DSU|CHEM|Chemistry
3671|DSU|CHIN|Chinese
3671|DSU|CIS|Computer Information Systems
3671|DSU|CIT|Computer Information Tech
3671|DSU|CJ|Criminal Justice
3671|DSU|COMM|Communication
3671|DSU|COMP|Computer Skills
3671|DSU|COOP|Co-operative Education
3671|DSU|CS|Computer Science
3671|DSU|DANC|Dance
3671|DSU|DES|Digital Design
3671|DSU|DHYG|Dental Hygiene
3671|DSU|ECON|Economics
3671|DSU|EDTL|Educ Online Teaching & Learn
3671|DSU|EDUC|Education
3671|DSU|ELED|Elementary Education
3671|DSU|EMS|Emergency Medical Services
3671|DSU|ENGL|English
3671|DSU|ENGR|Engineering
3671|DSU|ENVS|Environmental Science
3671|DSU|ESL|English as a Second Language
3671|DSU|ESOL|English Speakers - Other Lang
3671|DSU|FCS|Family & Consumer Sciences
3671|DSU|FIN|Finance
3671|DSU|FREN|French
3671|DSU|GCOM|Graphic Arts Communications
3671|DSU|GEO|Geology
3671|DSU|GEOG|Geography
3671|DSU|GERM|German
3671|DSU|HIST|History
3671|DSU|HLOC|Health Occupations
3671|DSU|HON|Honors
3671|DSU|HUM|Humanities
3671|DSU|ICL|Inst of Continued Learning
3671|DSU|INTS|Integrated Studies
3671|DSU|IT|Information Technology
3671|DSU|JAPN|Japanese
3671|DSU|LIB|Library
3671|DSU|MATH|Mathematics
3671|DSU|MGMT|Management
3671|DSU|MILS|Military Science
3671|DSU|MKTG|Marketing
3671|DSU|MLS|Medical Lab Science
3671|DSU|MUSC|Music
3671|DSU|NFS|Nutrition & Food Science
3671|DSU|NURS|Nursing
3671|DSU|OPER|Operations Management
3671|DSU|PBC|Placement Boot Camp
3671|DSU|PEHR|Physical Ed. Health & Rec
3671|DSU|PHIL|Philosophy
3671|DSU|PHLB|Phlebotomy
3671|DSU|PHYS|Physics
3671|DSU|POLS|Political Science
3671|DSU|PSY|Psychology
3671|DSU|PTA|Physical Therapist Assistant
3671|DSU|RADT|Medical Radiography
3671|DSU|RESP|Respiratory Therapy
3671|DSU|SAB|Study Abroad
3671|DSU|SCED|Secondary Education
3671|DSU|SCI|Science
3671|DSU|SOC|Sociology
3671|DSU|SPAN|Spanish
3671|DSU|SSC|Student Service Courses
3671|DSU|STAT|Statistics
3671|DSU|SURG|Surgical Technology
3671|DSU|SW|Social Work
