G_Deg_Type|Deg_Type_Description|Degree_Level|Created_Date|Modified_Date|Inactive
150|COP150 - Certificate of Proficiency|UCAT|2010-01-01 00:00:00.000|NULL|N
300|COP300 - Certificate of Proficiency|UCAT|2010-01-01 00:00:00.000|NULL|N
450|COP450 - Certificate of Proficiency|UCAT|2010-01-01 00:00:00.000|NULL|N
600|COP600 - Certificate of Proficiency|UCAT|2010-01-01 00:00:00.000|NULL|N
AA|Associate of Arts|Associates|2010-01-01 00:00:00.000|NULL|N
AAS|Associate of Applied Science|Associates|2010-01-01 00:00:00.000|NULL|N
AAT|Associate of Applied Technology|Associates|2010-01-01 00:00:00.000|2023-08-02 15:09:22.883|Y
AC|Associate of Science in Criminal Justice|Associates|2010-01-01 00:00:00.000|NULL|N
AE|Associate of Engineering Tech|Associates|2010-01-01 00:00:00.000|2023-08-02 15:09:22.883|Y
AFA|Associates of Fine Arts|Associates|2022-05-31 13:01:11.713|2023-08-02 15:09:22.883|Y
APE|Associate of Pre-Engineering|Associates|2010-01-01 00:00:00.000|NULL|N
APS|Associate of Pre-Science|Associates|2023-08-15 13:44:06.520|NULL|N
AS|Associate of Science|Associates|2010-01-01 00:00:00.000|NULL|N
ASB|Associate of Science in Business|Associates|2010-01-01 00:00:00.000|NULL|N
ASN|Associate of Science in Nursing|Associates|2010-01-01 00:00:00.000|NULL|N
AUD|Doctor of Audiology|Professional|2010-01-01 00:00:00.000|NULL|N
AWD|Award - less than one year certificate|Certificate|2010-01-01 00:00:00.000|NULL|N
BA|Bachelor of Arts|Bachelors|2010-01-01 00:00:00.000|NULL|N
BAS|Bachelors of Applied Science|Bachelors|2021-09-08 11:55:05.523|NULL|N
BAT|Bachelor of Applied Technology|Bachelors|2010-01-01 00:00:00.000|NULL|N
BBA|Bachelor of Business Administration|Bachelors|2010-01-01 00:00:00.000|2023-08-02 15:09:22.883|Y
BBE|Bachelor of Business and Economics|Bachelors|2010-01-01 00:00:00.000|2023-08-02 15:09:22.883|Y
BCE|Bachelor of Science in Computer Engineering|Bachelors|2010-01-01 00:00:00.000|2023-08-02 15:09:22.883|Y
BCH|Bachelor of Science in Chemical Engineering|Bachelors|2010-01-01 00:00:00.000|2023-08-02 15:09:22.883|Y
BCS|Bachelor of Science in Computer Science|Bachelors|2010-01-01 00:00:00.000|2023-08-02 15:09:22.883|Y
BCV|Bachelor of Science in Civil Engineering|Bachelors|2010-01-01 00:00:00.000|2023-08-02 15:09:22.883|Y
BE|Bachelor of Engineering|Bachelors|2010-01-01 00:00:00.000|2023-08-02 15:09:22.883|Y
BEA|Bachelor of Science in Earth Science Comp Tchg|Bachelors|2010-01-01 00:00:00.000|2023-08-02 15:09:22.883|Y
BED|Bachelor of Education|Bachelors|2010-01-01 00:00:00.000|2023-08-02 15:09:22.883|Y
BEE|Bachelor of Science in Electrical Engineering|Bachelors|2010-01-01 00:00:00.000|2023-08-02 15:09:22.883|Y
