D_Method_Code|D_Method_Name|Created_Date|Modified_Date|Inactive
B|Hybrid/Blended|2011-08-09 00:00:00.000|2021-07-01 00:00:00.000|N
C|Correspondence|2004-02-04 00:00:00.000|NULL|N
H|Technology-Enhanced|2011-08-09 00:00:00.000|NULL|N
I|Online/Internet|2011-08-09 00:00:00.000|NULL|N
O|Electronic Media|2000-01-01 00:00:00.000|2011-08-09 00:00:00.000|Y
P|Face-to-Face|2003-06-02 00:00:00.000|NULL|N
R|Interactive Audio/Video|2003-06-02 00:00:00.000|NULL|N
T|Broadcast|2003-06-02 00:00:00.000|2021-07-01 00:00:00.000|Y
V|Remote Virtual|2020-05-01 00:00:00.000|NULL|N
Y|Remote Hybrid|2021-07-01 00:00:00.000|NULL|N
