General_ED_Code|General_ED_Name|Created_Date|Modified_Date|Inactive
AI|American Institutions|2007-07-01 00:00:00.000|NULL|N
C|Composition|2007-07-01 00:00:00.000|NULL|N
CL|Institution - Specific Req Computer Literacy|2007-07-01 00:00:00.000|NULL|N
DV|Institution - Specific Req Diversity|2007-07-01 00:00:00.000|NULL|N
FA|Fine Arts|2007-07-01 00:00:00.000|NULL|N
FL|Foreign Language|2007-07-01 00:00:00.000|NULL|N
HU|Humanities|2007-07-01 00:00:00.000|NULL|N
ID|Interdisiplinary|2007-07-01 00:00:00.000|NULL|N
IR|Institution Requirement|2007-07-01 00:00:00.000|NULL|N
LS|Life Science|2007-07-01 00:00:00.000|NULL|N
PS|Physical Science (Including Earth Science)|2007-07-01 00:00:00.000|NULL|N
QL|Quantitative Literacy|2007-07-01 00:00:00.000|NULL|N
SS|Social and Behavioral Sciences|2007-07-01 00:00:00.000|NULL|N
