HS_School_Type_Code|HS_School_Type_Name|Created_Date|Modified_Date|Inactive
|No Response|2021-03-25 13:23:33.960|NULL|N
A|Public|2021-03-25 13:23:33.960|NULL|N
B|Independent Not Religious|2021-03-25 13:23:33.960|NULL|N
C|Independent Catholic|2021-03-25 13:23:33.960|NULL|N
D|Other Independent Religious|2021-03-25 13:23:33.960|NULL|N
E|Home School Association|2021-03-25 13:23:33.960|NULL|N
F|Charter|2021-03-25 13:23:33.960|NULL|N
G|Correspondence|2021-03-25 13:23:33.960|NULL|N
H|Other|2021-03-25 13:23:33.960|NULL|N
I|Education Provider|2021-03-25 13:23:33.960|NULL|N
