I_ID|I_NUM|I_SNAME|I_Banner|I_OPEID|I_NAME|I_SAS_NAME|I_Inst_Type|Created_Date|Modified_Date|Inactive
44|NULL|OWTech|NULL|02346500|Ogden-Weber Technical College|OWTech|T|2001-07-01 00:00:00.000|2022-06-01 09:23:35.773|N
45|NULL|BTech|NULL|02115400|Bridgerland Technical College|BTech|T|2001-07-01 00:00:00.000|2022-06-01 09:22:54.907|N
47|NULL|UBTech|NULL|01116500|Uintah Basin Technical College|UBTech|T|2001-07-01 00:00:00.000|2022-06-01 09:22:54.907|N
48|NULL|DTech|NULL|02156600|Davis Technical College|DTech|T|2001-07-01 00:00:00.000|2022-06-01 09:22:54.907|N
61|NULL|MTech|NULL|03413300|Mountainland Technical College|MTech|T|2001-07-01 00:00:00.000|2022-06-01 09:22:54.907|N
62|NULL|STech|NULL|04054300|Southwest Technical College|STech|T|2001-07-01 00:00:00.000|2022-06-01 09:22:54.907|N
63|7|USUE-DWE|A|00367700|USU EASTERN DIVISION OF WORKFORCE ED|USUEDWE|D|2015-07-01 00:00:00.000|2022-06-01 09:23:08.333|N
64|NULL|TTech|NULL|04191500|Tooele Technical College|TTech|T|2001-07-01 00:00:00.000|2022-06-01 09:22:54.907|N
65|NULL|DXTech|NULL|04121700|Dixie Technical College|DXTech|T|2001-07-01 00:00:00.000|2022-06-01 09:22:54.907|N
1000|NULL|USHE|NULL|NULL|Utah System of Higher Education|USHE|O|2023-07-12 14:28:52.190|NULL|N
1625|NULL|BYUI|NULL|NULL|BRIGHAM YOUNG UNIV - IDAHO|BYUI|O|2000-08-09 00:00:00.000|2022-06-01 09:24:51.963|N
3670|NULL|BYU|NULL|NULL|BRIGHAM YOUNG UNIVERSITY|BYU|O|1998-06-15 00:00:00.000|2022-06-01 09:20:52.977|N
3671|6|UT|D|00367100|UTAH TECH UNIVERSITY|UT|D|2013-02-16 00:00:00.000|2022-07-12 15:45:23.960|N
3672|NULL|LDS|NULL|NULL|ENSIGN COLLEGE|LDS|O|1998-06-15 00:00:00.000|2022-06-01 09:21:36.807|N
3675|1|UU|U|00367500|UNIVERSITY OF UTAH|UU|D|1998-06-15 00:00:00.000|2022-06-01 09:20:52.977|N
3676|7|USUE|A|00367600|UTAH STATE UNIVERSITY EASTERN |USUE|NULL|1998-06-15 00:00:00.000|2021-08-04 10:36:39.570|Y
3677|2|USU|A|00367700|UTAH STATE UNIVERSITY|USU|D|1998-06-15 00:00:00.000|2022-06-01 09:20:52.977|N
3678|4|SUU|T|00367800|SOUTHERN UTAH UNIVERSITY|SUU|D|1998-06-15 00:00:00.000|2022-06-01 09:20:52.977|N
3679|5|SNOW|B|00367900|SNOW COLLEGE|SNOW|D|1998-06-15 00:00:00.000|2022-06-01 09:20:52.977|N
3680|3|WSU|W|00368000|WEBER STATE UNIVERSITY|WSU|D|1998-06-15 00:00:00.000|2022-06-01 09:20:52.977|N
3681|NULL|WEST|NULL|NULL|WESTMINSTER COLLEGE|WEST|O|1998-06-15 00:00:00.000|2022-06-01 09:20:52.977|N
4027|8|UVU|V|00402700|UTAH VALLEY UNIVERSITY|UVU|D|2008-07-01 00:00:00.000|2022-06-01 09:20:52.977|N
5220|9|SLCC|S|00522000|SALT LAKE COMMUNITY COLLEGE|SLCC|D|1998-06-15 00:00:00.000|2022-06-01 09:20:52.977|N
5221|9|SLTC|S|00522000|SALT LAKE TECHNICAL COLLEGE|SLTC|D|2015-07-01 00:00:00.000|2023-09-26 09:10:13.737|N
9009|NULL|IS_Priv|NULL|NULL|In State Private|IS_Priv|O|2023-07-11 13:59:19.597|NULL|N
9099|NULL|OO_State|NULL|NULL|Out of State|OO_State|O|2023-07-11 13:59:19.597|NULL|N
9999|NULL|NotEnr|NULL|NULL|Not Enrolled|NotEnr|O|2023-07-11 13:59:19.597|NULL|N
33394|NULL|WGU|NULL|03339400|WESTERN GOVERNORS UNIVERSITY|WGU|O|2022-05-13 17:00:14.177|2022-06-01 09:22:10.397|N
