Institution|Service_County
63|Carbon County
3671|Kane County
3671|Washington County
3675|Salt Lake County
3675|Summit County
3677|Box Elder County
3677|Cache County
3677|Carbon County
3677|Daggett County
3677|Duchesne County
3677|Emery County
3677|Grand County
3677|Rich County
3677|San Juan County
3677|Tooele County
3677|Uintah County
3678|Beaver County
3678|Garfield County
3678|Iron County
3679|Juab County
3679|Millard County
3679|Piute County
3679|Sevier County
3679|Wayne County
3679|Sanpete County
3680|Davis County
3680|Morgan County
3680|Weber County
4027|Utah County
4027|Wasatch County
5220|Salt Lake County
5221|Salt Lake County
