L_Item_Code|L_Item_Name|L_Item_Inst|Created_Date|Modified_Date|Inactive
A|E&G|NULL|1998-06-15 00:00:00.000|NULL|N
B|UU - Med Dr|3675|1998-06-15 00:00:00.000|NULL|N
C|UU - Med Other|3675|1998-06-15 00:00:00.000|NULL|N
D|UU - RDEP/Dentistry|3675|1998-06-15 00:00:00.000|2020-04-29 00:00:00.000|N
E|USU - SE Utah Center|3677|1998-06-15 00:00:00.000|2020-04-29 00:00:00.000|Y
F|USU - Uintah Basin|3677|1998-06-15 00:00:00.000|2020-04-29 00:00:00.000|N
G|USU Eastern - CTE|3677|1998-06-15 00:00:00.000|2023-08-22 11:41:04.120|N
H|USU Blanding|3677|1998-06-15 00:00:00.000|2020-04-29 00:00:00.000|N
I|SLCC SA|5221|2020-04-29 00:00:00.000|NULL|N
K|SUU - St George Center|3678|1998-06-15 00:00:00.000|2004-10-11 00:00:00.000|Y
L|SNOW - Secondary|3679|1998-06-15 00:00:00.000|2004-10-11 00:00:00.000|Y
M|UEC|NULL|1998-06-15 00:00:00.000|2020-04-29 00:00:00.000|Y
N|SNOW - Post Secondary|3679|1998-06-15 00:00:00.000|2004-10-11 00:00:00.000|Y
P|UU - Med PA|3675|2001-07-01 00:00:00.000|NULL|N
Q|SNOW - CTE|3679|2003-07-01 00:00:00.000|NULL|N
R|USU - Brigham City|3677|2001-07-01 00:00:00.000|NULL|N
S|USU Eastern - Moab|3677|1998-06-15 00:00:00.000|2023-08-22 11:41:04.120|N
T|USU - Tooele/Wasatch|3677|1998-06-15 00:00:00.000|2020-04-29 00:00:00.000|N
X|USU Eastern - Price|3677|2011-08-29 00:00:00.000|2023-08-22 11:41:04.120|N
