R_Group1_Code|R_Group1_Name|Created_Date|Modified_Date|Inactive
A|Needs Analysis|2010-08-26 00:00:00.000|NULL|N
B|Auxiliary|2003-11-10 00:00:00.000|NULL|N
C|Hospital|2003-11-10 00:00:00.000|NULL|N
D|Public Broadcast|2003-11-10 00:00:00.000|NULL|N
E|Museums and Galleries|2003-11-10 00:00:00.000|NULL|N
F|Ext. & AG Exper|2003-11-10 00:00:00.000|NULL|N
G|Farm|2003-11-10 00:00:00.000|NULL|N
H|Greenhouses |2003-11-10 00:00:00.000|NULL|N
I|Shared w/Institution|2003-11-10 00:00:00.000|NULL|N
J|Hosting Conferences|2003-11-10 00:00:00.000|NULL|N
K|Public Theater|2003-11-10 00:00:00.000|NULL|N
L|Special Res./Inst. |2003-11-10 00:00:00.000|NULL|N
M|Public Daycare|2003-11-10 00:00:00.000|NULL|N
N|Student Health Clinic|2003-11-10 00:00:00.000|NULL|N
O|Airport Hanger|2003-11-10 00:00:00.000|NULL|N
S|School of Medicine|2012-02-09 00:00:00.000|NULL|N
V|Federal Space|2021-04-23 10:49:09.063|NULL|N
X|Excluded from Space Utilization|2020-12-10 14:26:59.630|NULL|N
Y|Non Assignable|2020-12-10 14:27:35.950|NULL|N
Z|Leased Out Space|2003-11-10 00:00:00.000|NULL|N
