S_Type_Code|S_Type_Name|S_Type_Inst|S_Type_Space_Utilize|Created_Date|Modified_Date|Inactive
A01|Course taught from Main Campus|NULL|Y|1998-09-01 00:00:00.000|NULL|N
B01|UU - Bountiful Center|3675|N|1998-09-01 00:00:00.000|NULL|N
B02|UU - Cedar Park Center|3675|N|1998-09-01 00:00:00.000|NULL|N
B03|UU - Park City Center|3675|N|1998-09-01 00:00:00.000|NULL|N
B04|UU - Sandy Center|3675|N|1998-09-01 00:00:00.000|NULL|N
B05|UU - St. George Center|3675|N|2017-04-10 00:00:00.000|NULL|N
B10|USU - Brigham Center|3677|Y|1998-09-01 00:00:00.000|NULL|N
B11|USU - Tremonton Center|3677|N|1998-09-01 00:00:00.000|NULL|N
B12|USU - Ogden Center|3677|N|1998-09-01 00:00:00.000|NULL|N
B13|USU - Salt Lake Center|3677|N|1998-09-01 00:00:00.000|NULL|N
B14|USU - Cedar City Center|3677|N|1998-09-01 00:00:00.000|NULL|N
B15|USU - St. George Center|3677|N|1998-09-01 00:00:00.000|NULL|N
B16|USU - Richfield Center|3677|N|1998-09-01 00:00:00.000|NULL|N
B17|USU - Delta Center|3677|N|1998-09-01 00:00:00.000|NULL|N
B18|USU - Tooele Center|3677|Y|1998-09-01 00:00:00.000|NULL|N
B19|USU - Moab Center|3677|N|1998-09-01 00:00:00.000|NULL|N
B20|USU - Price Center|3677|Y|1998-09-01 00:00:00.000|NULL|N
B21|USU - Blanding Center|3677|Y|1998-09-01 00:00:00.000|NULL|N
B22|USU - Roosevelt Center|3677|Y|1998-09-01 00:00:00.000|NULL|N
B23|USU - Vernal Center|3677|Y|1998-09-01 00:00:00.000|NULL|N
B24|USU - Randolph Center|3677|N|2011-09-08 00:00:00.000|NULL|N
B25|USU - Orem Center|3677|N|1998-09-01 00:00:00.000|NULL|N
B30|WSU - Davis Center|3680|Y|1998-09-01 00:00:00.000|NULL|N
B31|WSU - SUU|3680|N|1998-09-04 00:00:00.000|NULL|N
B32|WSU - USU|3680|N|1998-09-04 00:00:00.000|NULL|N
B33|WSU - Ogden North Center|3680|N|2002-07-01 00:00:00.000|NULL|N
B34|WSU - West Center|3680|N|2005-09-28 00:00:00.000|NULL|N
B35|WSU - Morgan Center|3680|N|1998-09-01 00:00:00.000|NULL|N
B36|WSU - Davis TL Center|3680|N|1998-09-01 00:00:00.000|NULL|N
B37|WSU - Farmington Station|3680|N|2016-06-01 00:00:00.000|NULL|N
B40|SUU - St. George Center|3678|N|2011-08-29 00:00:00.000|NULL|N
B41|SUU - Richfield Center|3678|N|2011-08-29 00:00:00.000|NULL|N
B43|USUE - Price|63|Y|2011-08-29 00:00:00.000|NULL|N
B44|USUE - Workforce Education|63|Y|2014-02-03 00:00:00.000|NULL|N
B45|USUE - Blanding Campus|63|Y|2011-08-23 00:00:00.000|NULL|N
B46|USUE - Moab Center|63|N|2011-08-23 00:00:00.000|NULL|N
B47|USUE - Monument Valley|63|N|2003-10-15 00:00:00.000|NULL|N
B48|USUE - Castle Dale Educational Center|63|N|1998-09-01 00:00:00.000|NULL|N
B50|SNOW - Richfield|3679|Y|2012-10-03 00:00:00.000|NULL|N
B52|SLCC - Herriman Center|5220|N|2018-08-20 00:00:00.000|NULL|N
B53|SLCC - West Valley City|5220|N|1998-01-01 00:00:00.000|NULL|N
B54|SLCC - West Point Center|5220|N|1998-01-01 00:00:00.000|2002-06-30 00:00:00.000|Y
B55|SLCC - Sandy Center|5220|N|1998-09-01 00:00:00.000|NULL|N
B56|SLCC - Riverside Center|5220|N|1998-09-01 00:00:00.000|NULL|N
B57|SLCC - West Jordan Center|5220|N|1998-09-01 00:00:00.000|NULL|N
B58|SLCC - Millcreek Center|5220|N|1998-09-01 00:00:00.000|NULL|N
B59|SLCC - Tooele Center|5220|N|1998-09-01 00:00:00.000|NULL|N
B60|SLCC - Jordan Technical Center|5220|Y|1998-09-01 00:00:00.000|NULL|N
B61|SLCC - South City Center|5220|Y|2002-07-01 00:00:00.000|NULL|N
B62|SLCC - Airport Center|5220|N|2002-07-01 00:00:00.000|NULL|N
B63|SLCC - Jordan Campus|5220|Y|2002-07-01 00:00:00.000|NULL|N
B64|SLCC - Larry H. Miller Campus|5220|N|2004-08-19 00:00:00.000|NULL|N
B65|SLCC - Meadowbrook Campus|5220|N|1998-01-01 00:00:00.000|NULL|N
B66|SLCC - Library Square Center (Previously Main Street Campus)|5220|N|2004-08-19 00:00:00.000|NULL|N
B67|SLCC - Draper Campus|5220|N|2013-02-07 00:00:00.000|NULL|N
B68|SLCC - Highland Center|5220|N|2013-02-07 00:00:00.000|NULL|N
B69|SLCC - Ogden Flight Academy|5220|N|1998-09-01 00:00:00.000|NULL|N
B70|UVU - North Valley Center|4027|N|2002-07-01 00:00:00.000|NULL|N
B71|UVU - Park City Center|4027|N|2002-07-01 00:00:00.000|NULL|N
B72|UVU - Heber City Center|4072|N|1998-01-01 00:00:00.000|NULL|N
B80|DSU - Hurricane Center|3671|N|1998-01-01 00:00:00.000|NULL|N
B81|SLCC-UU Juniper building at Herriman Campus|NULL|Y|2023-08-30 12:02:55.820|NULL|N
C|Course taught from Public Education Site (i.e. High School)|NULL|N|1998-09-01 00:00:00.000|NULL|N
D05|USUE|NULL|N|1998-09-01 00:00:00.000|NULL|N
D06|SNOW|NULL|N|1998-09-01 00:00:00.000|NULL|N
D07|DSU|NULL|N|1998-09-01 00:00:00.000|NULL|N
D08|SLCC|NULL|N|1998-09-01 00:00:00.000|NULL|N
D09|UVU|NULL|N|1998-09-01 00:00:00.000|NULL|N
E01|Draper|NULL|N|1998-09-01 00:00:00.000|NULL|N
E02|Gunnison|NULL|N|1998-09-01 00:00:00.000|NULL|N
E03|Cedar City|NULL|N|1998-09-01 00:00:00.000|NULL|N
E04|Washington County Purgatory|NULL|N|2001-07-01 00:00:00.000|NULL|N
E05|Panguitch|NULL|N|2002-07-01 00:00:00.000|NULL|N
E06|Duchesne|NULL|N|2004-09-10 00:00:00.000|NULL|N
E07|Monticello|NULL|N|2004-09-10 00:00:00.000|NULL|N
E08|Daggett County Correctional|NULL|N|2004-07-01 00:00:00.000|NULL|N
F01|SNOW - Richfield|NULL|N|2002-07-01 00:00:00.000|NULL|N
F02|Davis|NULL|N|2000-11-20 00:00:00.000|NULL|N
F03|Uintah Basin|NULL|N|2000-11-20 00:00:00.000|NULL|N
F04|Ogden-Weber|NULL|N|2000-11-20 00:00:00.000|NULL|N
F05|Bridgerland|NULL|N|2000-11-20 00:00:00.000|NULL|N
F06|Mountainland|NULL|N|2002-07-01 00:00:00.000|NULL|N
F07|Southwest|NULL|N|2002-07-01 00:00:00.000|NULL|N
F08|USUE - Southeast Center|NULL|N|2007-07-01 00:00:00.000|NULL|N
F09|Tooele|NULL|N|2002-07-01 00:00:00.000|2022-04-21 12:40:45.350|N
F10|DXTech|NULL|N|2002-07-01 00:00:00.000|NULL|N
G|Course taught from other owned site|NULL|N|1998-09-01 00:00:00.000|NULL|N
H|Course taught from other leased site|NULL|N|1998-09-01 00:00:00.000|NULL|N
I|Course taught from an out of country site|NULL|N|2016-01-15 00:00:00.000|NULL|N
O|Course is taught at Other site, not Owned or Leased   (eg:. Healthcare Clinic, local bowling alley, ect)|NULL|N|1998-09-01 00:00:00.000|2022-04-21 13:50:45.200|N
R01|SLCC- Distance Education|NULL|N|1998-01-01 00:00:00.000|NULL|N
R02|SNOW|NULL|N|1998-01-01 00:00:00.000|NULL|N
V|This portion of the course is taught online|NULL|N|2022-08-25 09:03:14.703|2023-09-29 17:46:21.297|N
Z|Course taught from an out of state site|NULL|N|1998-09-01 00:00:00.000|NULL|N
