SOC_Code|SOC_Title|Star_Rating|Education_Value|Area
11-1011|Chief Executives|4|Bachelors degree|Central-Southwest
11-1011|Chief Executives|4|Bachelors degree|Cache County
11-1011|Chief Executives|5|Bachelors degree|Provo-Orem
11-1011|Chief Executives|5|Bachelors degree|Washington County
11-1011|Chief Executives|5|Bachelors degree|Salt Lake
11-1011|Chief Executives|5|Bachelors degree|State of Utah
11-1011|Chief Executives|5|Bachelors degree|Ogden-Clearfield
11-1021|General and Operations Managers|5|Bachelors degree|Ogden-Clearfield
11-1021|General and Operations Managers|5|Bachelors degree|State of Utah
11-1021|General and Operations Managers|5|Bachelors degree|Salt Lake
11-1021|General and Operations Managers|5|Bachelors degree|Washington County
11-1021|General and Operations Managers|5|Bachelors degree|Central-Southwest
11-1021|General and Operations Managers|5|Bachelors degree|Eastern
11-1021|General and Operations Managers|5|Bachelors degree|Provo-Orem
11-1021|General and Operations Managers|5|Bachelors degree|Cache County
11-2011|Advertising and Promotions Managers|4|Bachelors degree|Salt Lake
11-2021|Marketing Managers|5|Bachelors degree|Salt Lake
11-2021|Marketing Managers|5|Bachelors degree|State of Utah
11-2021|Marketing Managers|5|Bachelors degree|Ogden-Clearfield
11-2021|Marketing Managers|5|Bachelors degree|Provo-Orem
11-2022|Sales Managers|4|Bachelors degree|Eastern
11-2022|Sales Managers|5|Bachelors degree|Washington County
11-2022|Sales Managers|5|Bachelors degree|Salt Lake
11-2022|Sales Managers|5|Bachelors degree|Ogden-Clearfield
11-2022|Sales Managers|5|Bachelors degree|State of Utah
11-2022|Sales Managers|5|Bachelors degree|Provo-Orem
11-3011|Administrative Services Managers|4|Bachelors degree|Ogden-Clearfield
11-3011|Administrative Services Managers|4|Bachelors degree|Central-Southwest
11-3011|Administrative Services Managers|5|Bachelors degree|Salt Lake
11-3011|Administrative Services Managers|5|Bachelors degree|State of Utah
11-3011|Administrative Services Managers|5|Bachelors degree|Provo-Orem
11-3021|Computer and Information Systems Managers|5|Bachelors degree|Provo-Orem
11-3021|Computer and Information Systems Managers|5|Bachelors degree|Cache County
11-3021|Computer and Information Systems Managers|5|Bachelors degree|State of Utah
11-3021|Computer and Information Systems Managers|5|Bachelors degree|Ogden-Clearfield
11-3021|Computer and Information Systems Managers|5|Bachelors degree|Salt Lake
11-3031|Financial Managers|4|Bachelors degree|Central-Southwest
11-3031|Financial Managers|5|Bachelors degree|Washington County
11-3031|Financial Managers|5|Bachelors degree|Eastern
11-3031|Financial Managers|5|Bachelors degree|Salt Lake
11-3031|Financial Managers|5|Bachelors degree|Ogden-Clearfield
11-3031|Financial Managers|5|Bachelors degree|State of Utah
11-3031|Financial Managers|5|Bachelors degree|Cache County
11-3031|Financial Managers|5|Bachelors degree|Provo-Orem
11-3051|Industrial Production Managers|4|Bachelors degree|Cache County
11-3051|Industrial Production Managers|4|Bachelors degree|Central-Southwest
11-3051|Industrial Production Managers|5|Bachelors degree|Salt Lake
11-3051|Industrial Production Managers|5|Bachelors degree|State of Utah
11-3051|Industrial Production Managers|5|Bachelors degree|Ogden-Clearfield
11-3051|Industrial Production Managers|5|Bachelors degree|Provo-Orem
11-3061|Purchasing Managers|4|Bachelors degree|State of Utah
11-3071|Transportation, Storage, and Distribution Managers|4|High school diploma or equivalent|Ogden-Clearfield
11-3071|Transportation, Storage, and Distribution Managers|5|High school diploma or equivalent|State of Utah
11-3071|Transportation, Storage, and Distribution Managers|5|High school diploma or equivalent|Salt Lake
11-3071|Transportation, Storage, and Distribution Managers|5|High school diploma or equivalent|Provo-Orem
11-3121|Human Resources Managers|4|Bachelors degree|Provo-Orem
11-3121|Human Resources Managers|4|Bachelors degree|Ogden-Clearfield
11-3121|Human Resources Managers|5|Bachelors degree|State of Utah
11-3121|Human Resources Managers|5|Bachelors degree|Salt Lake
11-3131|Training and Development Managers|4|Bachelors degree|Salt Lake
11-3131|Training and Development Managers|4|Bachelors degree|State of Utah
11-3131|Training and Development Managers|4|Bachelors degree|Provo-Orem
11-9013|Farmers, Ranchers, and Other Agricultural Managers|4|High school diploma or equivalent|Eastern
11-9021|Construction Managers|5|Bachelors degree|Washington County
11-9021|Construction Managers|5|Bachelors degree|Salt Lake
11-9021|Construction Managers|5|Bachelors degree|State of Utah
11-9021|Construction Managers|5|Bachelors degree|Ogden-Clearfield
11-9021|Construction Managers|5|Bachelors degree|Provo-Orem
11-9032|Education Administrators, Elementary and Secondary School|4|Masters degree|Provo-Orem
11-9032|Education Administrators, Elementary and Secondary School|4|Masters degree|Eastern
11-9032|Education Administrators, Elementary and Secondary School|5|Masters degree|Central-Southwest
11-9032|Education Administrators, Elementary and Secondary School|5|Masters degree|Ogden-Clearfield
11-9032|Education Administrators, Elementary and Secondary School|5|Masters degree|State of Utah
11-9033|Education Administrators, Postsecondary|5|Masters degree|State of Utah
11-9033|Education Administrators, Postsecondary|5|Masters degree|Salt Lake
11-9041|Architectural and Engineering Managers|5|Bachelors degree|Salt Lake
11-9041|Architectural and Engineering Managers|5|Bachelors degree|State of Utah
11-9041|Architectural and Engineering Managers|5|Bachelors degree|Ogden-Clearfield
11-9041|Architectural and Engineering Managers|5|Bachelors degree|Provo-Orem
11-9051|Food Service Managers|4|High school diploma or equivalent|Provo-Orem
11-9051|Food Service Managers|4|High school diploma or equivalent|Cache County
11-9051|Food Service Managers|4|High school diploma or equivalent|Ogden-Clearfield
11-9051|Food Service Managers|4|High school diploma or equivalent|State of Utah
11-9051|Food Service Managers|4|High school diploma or equivalent|Salt Lake
11-9051|Food Service Managers|4|High school diploma or equivalent|Washington County
11-9051|Food Service Managers|4|High school diploma or equivalent|Eastern
11-9051|Food Service Managers|5|High school diploma or equivalent|Central-Southwest
11-9081|Lodging Managers|4|High school diploma or equivalent|Central-Southwest
11-9081|Lodging Managers|4|High school diploma or equivalent|Eastern
11-9111|Medical and Health Services Managers|4|Bachelors degree|Eastern
11-9111|Medical and Health Services Managers|4|Bachelors degree|Central-Southwest
11-9111|Medical and Health Services Managers|5|Bachelors degree|Washington County
11-9111|Medical and Health Services Managers|5|Bachelors degree|Salt Lake
11-9111|Medical and Health Services Managers|5|Bachelors degree|State of Utah
11-9111|Medical and Health Services Managers|5|Bachelors degree|Ogden-Clearfield
11-9111|Medical and Health Services Managers|5|Bachelors degree|Cache County
11-9111|Medical and Health Services Managers|5|Bachelors degree|Provo-Orem
11-9121|Natural Sciences Managers|4|Bachelors degree|Salt Lake
11-9121|Natural Sciences Managers|5|Bachelors degree|State of Utah
11-9141|Property, Real Estate, and Community Association Managers|4|High school diploma or equivalent|State of Utah
11-9141|Property, Real Estate, and Community Association Managers|4|High school diploma or equivalent|Ogden-Clearfield
11-9141|Property, Real Estate, and Community Association Managers|4|High school diploma or equivalent|Salt Lake
11-9141|Property, Real Estate, and Community Association Managers|4|High school diploma or equivalent|Washington County
11-9141|Property, Real Estate, and Community Association Managers|4|High school diploma or equivalent|Central-Southwest
11-9141|Property, Real Estate, and Community Association Managers|5|High school diploma or equivalent|Eastern
11-9141|Property, Real Estate, and Community Association Managers|5|High school diploma or equivalent|Provo-Orem
11-9151|Social and Community Service Managers|4|Bachelors degree|Provo-Orem
11-9151|Social and Community Service Managers|4|Bachelors degree|Salt Lake
11-9151|Social and Community Service Managers|5|Bachelors degree|State of Utah
13-1020|Buyers and Purchasing Agents|4|Bachelors degree|Washington County
13-1020|Buyers and Purchasing Agents|4|Bachelors degree|Cache County
13-1020|Buyers and Purchasing Agents|5|Bachelors degree|Provo-Orem
13-1020|Buyers and Purchasing Agents|5|Bachelors degree|Salt Lake
13-1020|Buyers and Purchasing Agents|5|Bachelors degree|State of Utah
13-1020|Buyers and Purchasing Agents|5|Bachelors degree|Ogden-Clearfield
13-1031|Claims Adjusters, Examiners, and Investigators|4|High school diploma or equivalent|State of Utah
13-1031|Claims Adjusters, Examiners, and Investigators|5|High school diploma or equivalent|Salt Lake
13-1041|Compliance Officers|4|Bachelors degree|State of Utah
13-1041|Compliance Officers|4|Bachelors degree|Ogden-Clearfield
13-1041|Compliance Officers|4|Bachelors degree|Provo-Orem
13-1041|Compliance Officers|5|Bachelors degree|Salt Lake
13-1051|Cost Estimators|4|Bachelors degree|Eastern
13-1051|Cost Estimators|4|Bachelors degree|State of Utah
13-1051|Cost Estimators|4|Bachelors degree|Provo-Orem
13-1051|Cost Estimators|4|Bachelors degree|Cache County
