s_instance|s_year|s_term|s_extract|s_inst_cd|s_start_date|s_end_date|s_fis_year
199923|1999|2|3|199923|1998-09-01|1998-12-15|9899
19992E|1999|2|E|199924|1998-09-01|1998-12-15|9899
199933|1999|3|3|199933|1999-01-15|1999-05-15|9899
19993E|1999|3|E|199934|1999-01-15|1999-05-15|9899
20001E|2000|1|E|200014|1999-06-01|1999-08-15|9900
200023|2000|2|3|200023|1999-09-01|1999-12-15|9900
20002E|2000|2|E|200024|1999-09-01|1999-12-15|9900
200033|2000|3|3|200033|2000-01-15|2000-05-15|9900
20003E|2000|3|E|200034|2000-01-15|2000-05-15|9900
20011E|2001|1|E|200114|2000-06-01|2000-08-15|0001
200123|2001|2|3|200123|2000-09-01|2000-12-15|0001
20012E|2001|2|E|200124|2000-09-01|2000-12-15|0001
200133|2001|3|3|200133|2001-01-15|2001-05-15|0001
20013E|2001|3|E|200134|2001-01-15|2001-05-15|0001
20021E|2002|1|E|200214|2001-06-01|2001-08-15|0102
200223|2002|2|3|200223|2001-09-01|2001-12-15|0102
20022E|2002|2|E|200224|2001-09-01|2001-12-15|0102
200233|2002|3|3|200233|2002-01-15|2002-05-15|0102
20023E|2002|3|E|200234|2002-01-15|2002-05-15|0102
20031E|2003|1|E|200314|2002-06-01|2002-08-15|0203
200323|2003|2|3|200323|2002-09-01|2002-12-15|0203
20032E|2003|2|E|200324|2002-09-01|2002-12-15|0203
200333|2003|3|3|200333|2003-01-15|2003-05-15|0203
20033E|2003|3|E|200334|2003-01-15|2003-05-15|0203
20041E|2004|1|E|200414|2003-06-01|2003-08-15|0304
200423|2004|2|3|200423|2003-09-01|2003-12-15|0304
20042E|2004|2|E|200424|2003-09-01|2003-12-15|0304
200433|2004|3|3|200433|2004-01-15|2004-05-15|0304
20043E|2004|3|E|200434|2004-01-15|2004-05-15|0304
20051E|2005|1|E|200514|2004-06-01|2004-08-15|0405
200523|2005|2|3|200523|2004-09-01|2004-12-15|0405
20052E|2005|2|E|200524|2004-09-01|2004-12-15|0405
200533|2005|3|3|200533|2005-01-15|2005-05-15|0405
20053E|2005|3|E|200534|2005-01-15|2005-05-15|0405
20061E|2006|1|E|200614|2005-06-01|2005-08-15|0506
200623|2006|2|3|200623|2005-09-01|2005-12-15|0506
20062E|2006|2|E|200624|2005-09-01|2005-12-15|0506
200633|2006|3|3|200633|2006-01-15|2006-05-15|0506
20063E|2006|3|E|200634|2006-01-15|2006-05-15|0506
20071E|2007|1|E|200714|2006-06-01|2006-08-15|0607
200723|2007|2|3|200723|2006-09-01|2006-12-15|0607
20072E|2007|2|E|200724|2006-09-01|2006-12-15|0607
200733|2007|3|3|200733|2007-01-15|2007-05-15|0607
20073E|2007|3|E|200734|2007-01-15|2007-05-15|0607
20081E|2008|1|E|200814|2007-06-01|2007-08-15|0708
200823|2008|2|3|200823|2007-09-01|2007-12-15|0708
20082E|2008|2|E|200824|2007-09-01|2007-12-15|0708
200833|2008|3|3|200833|2008-01-15|2008-05-15|0708
20083E|2008|3|E|200834|2008-01-15|2008-05-15|0708
20091E|2009|1|E|200914|2008-06-01|2008-08-15|0809
200923|2009|2|3|200923|2008-09-01|2008-12-15|0809
20092E|2009|2|E|200924|2008-09-01|2008-12-15|0809
200933|2009|3|3|200933|2009-01-15|2009-05-15|0809
20093E|2009|3|E|200934|2009-01-15|2009-05-15|0809
20101E|2010|1|E|201014|2009-06-01|2009-08-15|0910
201023|2010|2|3|201023|2009-09-01|2009-12-15|0910
20102E|2010|2|E|201024|2009-09-01|2009-12-15|0910
201033|2010|3|3|201033|2010-01-15|2010-05-15|0910
20103E|2010|3|E|201034|2010-01-15|2010-05-15|0910
20111E|2011|1|E|201114|2010-06-01|2010-08-15|1011
201123|2011|2|3|201123|2010-09-01|2010-12-15|1011
20112E|2011|2|E|201124|2010-09-01|2010-12-15|1011
201133|2011|3|3|201133|2011-01-15|2011-05-15|1011
20113E|2011|3|E|201134|2011-01-15|2011-05-15|1011
20121E|2012|1|E|201214|2011-06-01|2011-08-15|1112
201223|2012|2|3|201223|2011-09-01|2011-12-15|1112
20122E|2012|2|E|201224|2011-09-01|2011-12-15|1112
201233|2012|3|3|201233|2012-01-15|2012-05-15|1112
20123E|2012|3|E|201234|2012-01-15|2012-05-15|1112
20131E|2013|1|E|201314|2012-06-01|2012-08-15|1213
201323|2013|2|3|201323|2012-09-01|2012-12-15|1213
20132E|2013|2|E|201324|2012-09-01|2012-12-15|1213
201333|2013|3|3|201333|2013-01-15|2013-05-15|1213
20133E|2013|3|E|201334|2013-01-15|2013-05-15|1213
20141E|2014|1|E|201414|2013-06-01|2013-08-15|1314
201423|2014|2|3|201423|2013-09-01|2013-12-15|1314
20142E|2014|2|E|201424|2013-09-01|2013-12-15|1314
201433|2014|3|3|201433|2014-01-15|2014-05-15|1314
20143E|2014|3|E|201434|2014-01-15|2014-05-15|1314
20151E|2015|1|E|201514|2014-06-01|2014-08-15|1415
201523|2015|2|3|201523|2014-09-01|2014-12-15|1415
20152E|2015|2|E|201524|2014-09-01|2014-12-15|1415
201533|2015|3|3|201533|2015-01-15|2015-05-15|1415
20153E|2015|3|E|201534|2015-01-15|2015-05-15|1415
20161E|2016|1|E|201614|2015-06-01|2015-08-15|1516
201623|2016|2|3|201623|2015-09-01|2015-12-15|1516
20162E|2016|2|E|201624|2015-09-01|2015-12-15|1516
201633|2016|3|3|201633|2016-01-15|2016-05-15|1516
20163E|2016|3|E|201634|2016-01-15|2016-05-15|1516
20171E|2017|1|E|201714|2016-06-01|2016-08-15|1617
201723|2017|2|3|201723|2016-09-01|2016-12-15|1617
20172E|2017|2|E|201724|2016-09-01|2016-12-15|1617
201733|2017|3|3|201733|2017-01-15|2017-05-15|1617
20173E|2017|3|E|201734|2017-01-15|2017-05-15|1617
20181E|2018|1|E|201814|2017-06-01|2017-08-15|1718
201823|2018|2|3|201823|2017-09-01|2017-12-15|1718
20182E|2018|2|E|201824|2017-09-01|2017-12-15|1718
201833|2018|3|3|201833|2018-01-15|2018-05-15|1718
20183E|2018|3|E|201834|2018-01-15|2018-05-15|1718
20191E|2019|1|E|201914|2018-06-01|2018-08-15|1819
201923|2019|2|3|201923|2018-09-01|2018-12-15|1819
20192E|2019|2|E|201924|2018-09-01|2018-12-15|1819
201933|2019|3|3|201933|2019-01-15|2019-05-15|1819
20193E|2019|3|E|201934|2019-01-15|2019-05-15|1819
20201E|2020|1|E|202014|2019-06-01|2019-08-15|1920
202023|2020|2|3|202023|2019-09-01|2019-12-15|1920
20202E|2020|2|E|202024|2019-09-01|2019-12-15|1920
202033|2020|3|3|202033|2020-01-15|2020-05-15|1920
