U_Enrl_Obj|U_Enrl_Obj_Desc|Created_Date|Modified_Date|Inactive
1|Certificate-Seeker|2013-07-01 00:00:00.000|NULL|N
2|Continuing Occupational Education Student|2017-07-01 00:00:00.000|NULL|N
3|Senior Citizen (Audit Waiver)|2013-07-01 00:00:00.000|NULL|N
4|Campus Credential Seeker|2012-07-01 00:00:00.000|2023-08-30 11:12:59.917|Y
5|Apprenticeship Student|2012-07-01 00:00:00.000|2023-07-01 00:00:00.000|Y
6|Basic Skills Student|2013-07-01 00:00:00.000|NULL|N
7|Personal Interest Student|2012-07-01 00:00:00.000|NULL|N
8|Enrolled For Assessment Services|2006-07-01 00:00:00.000|NULL|N
9|International Student|2012-07-01 00:00:00.000|2023-07-01 00:00:00.000|Y
I|Incarcerated Student|2012-07-01 00:00:00.000|2023-07-01 00:00:00.000|Y
J|Job Re-Entry Student|2013-07-01 00:00:00.000|NULL|N
S|Secondary Student|2013-07-01 00:00:00.000|NULL|N
