Table_Name|Table_Order|Created_Date|Modified_Date|Results|Notes|Inactive
a1|1a1|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
a2|1a2|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
a3|1a3|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
a4|1a4|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
c00|4c00|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
c00a|4c00a|2018-12-12 00:00:00.000|NULL|Fatal|NULL|N
c01|4c01|1900-01-01 00:00:00.000|2020-09-24 00:00:00.000|Fatal|NULL|N
c02|4c02|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
c04a|4c04a|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
c04b|4c04b|1900-01-01 00:00:00.000|NULL|Removed|NULL|Y
c04c|4c04c|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
c04d|4c04d|2020-09-25 00:00:00.000|NULL|Explanation|Eventually will be Fatal|N
c05|4c05|1900-01-01 00:00:00.000|2021-02-08 15:17:40.043|Removed|NULL|Y
c06a|4c06a|2021-09-17 00:00:00.000|NULL|Fatal|NULL|N
c07a|4c07a|2021-09-17 00:00:00.000|NULL|Fatal|NULL|N
c07b|4c07b|2021-09-17 00:00:00.000|NULL|fatal|NULL|N
c08a|4c08a|2021-09-17 00:00:00.000|NULL|Fatal|NULL|N
c09|4c09|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
c09a|4c09a|2015-08-28 00:00:00.000|2023-09-26 14:26:21.667|Fatal|NULL|N
c10|4c10|1900-01-01 00:00:00.000|2021-02-08 15:38:24.703|Explanation|NULL|N
c10a|4c10a|2021-02-08 15:41:45.823|NULL|Fatal|NULL|N
c11|4c11|1900-01-01 00:00:00.000|2021-05-10 10:48:06.650|Fatal|NULL|N
c11a|4c11a|2021-05-10 10:49:40.857|NULL|Fatal|NULL|N
c11b|4c11b|2021-09-21 00:00:00.000|NULL|Explanation|NULL|N
c11c|4c11c|2021-09-21 00:00:00.000|NULL|Fatal|NULL|N
c12|4c12|1900-01-01 00:00:00.000|2022-11-01 12:21:26.243|Explanation|NULL|N
c12a|4c12a|2021-02-08 15:46:39.057|2022-11-01 12:21:26.243|Fatal|NULL|N
c13|4c13|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
c13a|4c13a|1900-01-01 00:00:00.000|2021-02-08 16:02:48.297|Explanation|NULL|N
c13b|4c13b|1900-01-01 00:00:00.000|2021-02-08 16:03:17.730|Fatal|NULL|N
c13c|4c13c|1900-01-01 00:00:00.000|2021-02-08 16:08:10.820|Explanation|NULL|N
c13d|4c13d|1900-01-01 00:00:00.000|2021-02-08 16:07:57.847|Removed|NULL|Y
c13e|4c13e|1900-01-01 00:00:00.000|2021-02-08 16:12:04.300|Explanation|NULL|N
c13f|4c13f|1900-01-01 00:00:00.000|2021-02-08 16:12:16.607|Fatal|NULL|N
c13g|4c13g|1900-01-01 00:00:00.000|2021-02-08 16:17:26.350|Explanation|NULL|N
c13h|4c13h|1900-01-01 00:00:00.000|2021-02-08 16:17:26.350|Removed|NULL|Y
c13i|4c13i|1900-01-01 00:00:00.000|2021-02-08 16:20:57.463|Explanation|NULL|N
c13j|4c13j|1900-01-01 00:00:00.000|2021-02-08 16:20:57.463|Fatal|NULL|N
c13k|4c13k|1900-01-01 00:00:00.000|2021-02-08 16:23:55.140|Explanation|NULL|N
c13l|4c13l|1900-01-01 00:00:00.000|2021-02-08 16:23:55.140|Removed|NULL|Y
c14a|4c14a|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
c14b|4c14b|1900-01-01 00:00:00.000|2023-09-28 12:24:03.763|Fatal|3rd only|N
c14c|4c14c|2015-07-16 00:00:00.000|2023-09-26 14:26:21.667|Fatal|EOT only|N
c15a|4c15a|2021-05-10 16:16:20.550|2021-12-14 14:37:26.007|Explanation|NULL|N
c15b|4c15b|2021-07-30 00:00:00.000|2021-12-14 14:37:26.007|Fatal|NULL|N
c15c|4c15c|2021-12-14 15:19:37.930|NULL|Explanation|NULL|N
c16a|4c16a|2021-05-10 16:16:26.603|2021-12-14 14:37:26.007|Explanation|NULL|N
c16b|4c16b|2021-05-10 00:00:00.000|2021-12-14 14:37:26.007|Fatal|NULL|N
c16c|4c16c|2021-12-14 15:19:37.930|NULL|Explanation|NULL|N
c17a|4c17a|2021-07-30 00:00:00.000|2021-12-14 14:37:26.007|Explanation|NULL|N
c17b|4c17b|2021-07-30 00:00:00.000|2021-12-14 14:37:26.007|Fatal|NULL|N
