Table_Name|Table_Order|Created_Date|Modified_Date|Results|Notes|Inactive
gu00a|1gu00a|2022-11-02 10:02:30.323|NULL|Data|NULL|N
gu01a|1gu01a|2022-11-02 10:02:30.323|NULL|Fatal|NULL|N
gu02a|1gu02a|2022-11-02 10:02:30.323|NULL|Fatal|NULL|N
gu02b|1gu02b|2022-11-02 10:02:30.323|NULL|Fatal|NULL|N
gu03a|1gu03a|2022-11-02 10:02:30.323|NULL|Fatal|NULL|N
gu03b|1gu03b|2022-11-02 10:02:30.323|NULL|Fatal|NULL|N
gu04a|1gu04a|2022-11-02 10:02:30.323|NULL|Fatal|NULL|N
gu04b|1gu04b|2022-11-02 10:02:30.323|NULL|Fatal|NULL|N
gu05a|1gu05a|2022-11-02 10:02:30.323|NULL|Fatal|NULL|N
gu05b|1gu05b|2022-11-02 10:02:30.323|NULL|Fatal|NULL|N
gu05c|1gu05c|2022-11-02 10:02:30.323|NULL|Fatal|NULL|N
gu05d|1gu05d|2022-11-02 10:02:30.323|NULL|Fatal|NULL|N
gu06a|1gu06a|2022-11-02 10:02:30.323|NULL|Fatal|NULL|N
gu07a|1gu07a|2022-11-02 10:02:30.323|NULL|Fatal|NULL|N
gu08a|1gu08a|2022-11-02 10:02:30.323|NULL|Fatal|NULL|N
gu09a|1gu09a|2022-11-02 10:02:30.323|NULL|Fatal|NULL|N
gu09b|1gu09b|2022-11-02 10:02:30.323|2023-07-06 10:21:18.420|Fatal|NULL|N
gu09c|1gu09c|2022-11-02 10:02:30.323|NULL|Fatal|NULL|N
gu09d|1gu09d|2022-11-02 10:02:30.323|NULL|Fatal|NULL|N
gu09e|1gu09e|2022-11-02 10:02:30.323|NULL|Fatal|NULL|N
gu09f|1gu09f|2022-11-02 10:02:30.323|NULL|Fatal|NULL|N
gu09g|1gu09g|2022-11-02 10:02:30.323|NULL|Fatal|NULL|N
gu09h|1gu09h|2023-06-29 13:51:20.250|NULL|Count|NULL|N
gu10a|1gu10a|2022-11-02 10:02:30.323|NULL|Fatal|NULL|N
gu10b|1gu10b|2022-11-02 10:02:30.323|NULL|Fatal|NULL|N
gu10c|1gu10c|2022-11-02 10:02:30.323|NULL|Fatal|NULL|N
gu10d|1gu10d|2022-11-02 10:02:30.323|2023-07-06 10:31:45.127|Fatal|NULL|N
gu11a|1gu11a|2023-05-18 12:56:36.467|NULL|Explanation|NULL|N
gu11b|1gu11b|2023-05-18 12:56:36.467|NULL|Explanation|NULL|N
gu11c|1gu11c|2023-07-07 12:49:12.517|NULL|Fatal|NULL|N
gu12a|1gu12a|2023-07-07 12:49:12.517|NULL|Fatal|NULL|N
gu99a|1gu99a|2022-11-02 10:02:30.323|NULL|Fatal|NULL|N
