Table_Name|Table_Order|Created_Date|Modified_Date|Results|Notes|Inactive
pf00a|1pf00a|2022-04-01 12:17:50.227|NULL|Data|NULL|N
pf01a|1pf01a|2022-04-01 12:17:50.227|NULL|Fatal|NULL|N
pf02a|1pf02a|2022-04-01 12:17:50.227|NULL|Fatal|NULL|N
pf02b|1pf02b|2022-04-01 12:17:50.227|NULL|Fatal|NULL|N
pf03a|1pf03a|2022-04-01 12:17:50.227|NULL|Fatal|NULL|N
pf03b|1pf03b|2022-04-01 12:17:50.227|NULL|Fatal|NULL|N
pf04a|1pf04a|2022-04-01 12:17:50.227|NULL|Fatal|NULL|N
pf04b|1pf04b|2022-04-07 13:46:50.340|NULL|Count|NULL|N
pf05a|1pf05a|2022-04-01 12:17:50.227|NULL|Fatal|NULL|N
pf05b|1pf05b|2022-04-01 12:17:50.227|NULL|Explanation|NULL|N
pf05c|1pf05c|2022-04-01 12:17:50.227|NULL|Fatal|NULL|N
pf05d|1pf05d|2022-04-20 10:31:45.387|NULL|Explanation|NULL|N
pf05e|1pf05e|2022-04-07 12:55:20.533|2022-05-31 13:29:48.187|Explanation|NULL|N
pf06a|1pf06a|2022-04-01 12:17:50.227|NULL|Fatal|NULL|N
pf06b|1pf06b|2022-04-01 12:17:50.227|NULL|Fatal|NULL|N
pf07a|1pf07a|2022-04-01 12:17:50.227|NULL|Fatal|NULL|N
pf07b|1pf07b|2022-04-01 12:17:50.227|NULL|Fatal|NULL|N
pf07c|1pf07c|2022-04-01 12:17:50.227|NULL|Fatal|NULL|N
pf07d|1pf07d|2023-04-05 09:31:06.643|NULL|Fatal|NULL|N
pf08a|1pf08a|2022-04-01 12:17:50.227|NULL|Fatal|NULL|N
pf08b|1pf08b|2022-04-01 12:17:50.227|NULL|Fatal|NULL|N
pf09a|1pf09a|2022-04-01 12:17:50.227|NULL|Fatal|NULL|N
pf09b|1pf09b|2022-04-01 12:17:50.227|NULL|Fatal|NULL|N
pf10a|1pf10a|2022-04-01 12:17:50.227|NULL|Fatal|NULL|N
pf99a|1pf99a|2022-04-07 13:39:12.253|NULL|Fatal|NULL|N
pf99b|1pf99b|2022-07-13 13:04:20.460|NULL|Fatal|USHE Needs to Fix PF_Key if issue|N
