Table_Name|Table_Order|Created_Date|Modified_Date|Results|Notes|Inactive
b00a|1b00a|2020-11-24 12:29:04.017|NULL|Data|NULL|N
b01a|1b01a|2020-11-24 12:29:15.440|NULL|Fatal|NULL|N
b02a|1b02a|2020-11-24 12:29:21.870|NULL|Fatal|NULL|N
b02b|1b02b|2020-12-03 11:10:53.453|NULL|Fatal|NULL|N
b03a|1b03a|2020-11-24 12:29:30.507|NULL|Fatal|NULL|N
b03b|1b03b|2020-11-25 10:57:34.220|NULL|Fatal|NULL|N
b03c|1b03c|2020-11-25 11:03:30.470|NULL|Notice|NULL|N
b03d|1b03d|2020-12-03 11:14:15.660|NULL|Notice|NULL|N
b04a|1b04a|2020-12-02 12:53:27.413|2020-12-10 15:30:20.177|Fatal|NULL|N
b04b|1b04b|2020-12-03 08:42:26.370|2020-12-10 15:30:28.750|Fatal|NULL|N
b05a|1b05a|2020-12-02 12:53:37.977|NULL|Fatal|NULL|N
b06a|1b06a|2020-12-02 12:53:47.923|NULL|Fatal|NULL|N
b06b|1b06b|2020-12-03 11:20:26.570|NULL|Fatal|NULL|N
b07a|1b07a|2020-12-02 12:53:57.437|NULL|Fatal|NULL|N
b08a|1b08a|2020-12-02 12:54:07.177|2021-04-28 13:07:45.777|Fatal|Explanation for 2020|N
b08b|1b08b|2021-04-28 13:09:19.170|NULL|Explanation|NULL|N
b10a|1b10a|2021-04-28 14:23:54.163|2021-10-26 08:47:49.047|Explanation|NULL|N
b11a|1b11a|2020-11-24 12:29:39.827|2021-04-21 15:40:17.873|Fatal|NULL|N
b11b|1b11b|2020-12-02 12:54:27.930|2020-12-10 15:30:53.620|Fatal|NULL|N
b11c|1b11c|2021-04-28 14:10:22.527|NULL|Explanation|NULL|N
b12a|1b12a|2020-11-24 15:31:53.733|2021-10-06 13:55:28.387|Fatal|NULL|N
b12b|1b12b|2020-12-02 12:54:36.650|2021-10-06 13:55:35.083|Fatal|NULL|N
b12c|1b12c|2020-12-04 11:00:51.153|2021-04-29 15:52:44.063|Notice|NULL|N
b14a|1b14a|2021-04-21 15:27:27.900|2021-10-06 13:56:28.863|Fatal|NULL|N
b14b|1b14b|2021-04-28 13:14:45.390|2021-10-06 13:56:36.617|Explanation|NULL|N
b15a|1b15a|2021-07-08 13:49:23.137|NULL|FATAL|NULL|N
b15b|1b15b|2021-07-08 13:53:12.103|NULL|FATAL|NULL|N
b15c|1b15c|2021-12-20 17:12:25.503|NULL|Notice|NULL|N
b99a|1b99a|2021-04-21 15:54:01.740|NULL|Fatal|NULL|N
b99b|1b99b|2021-04-23 13:32:36.730|NULL|Fatal|NULL|N
r00a|2r00a|2020-11-24 14:58:42.497|NULL|Data|NULL|N
r01a|2r01a|2020-11-24 14:58:47.977|NULL|Fatal|NULL|N
r01b|2r01b|2020-12-02 16:33:45.287|NULL|Fatal|NULL|N
r02a|2r02a|2020-12-02 16:33:58.203|NULL|Fatal|NULL|N
r02b|2r02b|2020-12-03 08:44:44.930|NULL|Fatal|NULL|N
r03a|2r03a|2020-11-25 09:51:26.650|NULL|Fatal|NULL|N
r03b|2r03b|2021-07-09 10:48:22.980|NULL|Fatal|NULL|N
r04a|2r04a|2020-11-25 09:43:25.090|NULL|Explanation|NULL|N
r04b|2r04b|2020-12-21 13:41:53.010|2021-04-21 16:02:14.517|Fatal|NULL|Y
r06a|2r06a|2020-11-24 14:58:57.447|NULL|Fatal|NULL|N
r06b|2r06b|2020-12-02 16:34:13.817|NULL|Fatal|NULL|N
r06c|2r06c|2020-12-08 17:08:54.903|NULL|Count|NULL|N
r06d|2r06d|2020-12-10 14:40:34.347|NULL|Notice|NULL|N
r06e|2r06e|2020-12-15 16:12:49.103|NULL|Notice|NULL|N
r07a|2r07a|2020-11-24 14:59:03.977|NULL|Fatal|NULL|N
r07b|2r07b|2020-12-02 16:34:26.510|NULL|Fatal|NULL|N
r07c|2r07c|2021-04-23 13:39:10.883|NULL|Explaination|NULL|N
r08a|2r08a|2020-11-24 14:59:11.820|2021-10-06 13:57:10.173|Fatal|NULL|N
r08b|2r08b|2020-11-25 10:11:52.650|NULL|Fatal|NULL|N
r08c|2r08c|2021-07-09 12:39:19.480|NULL|Count|NULL|N
r08d|2r08d|2020-11-25 11:19:24.430|NULL|Fatal|Unless UU or USU|N
r09a|2r09a|2020-12-02 16:34:40.157|2021-04-23 13:44:30.783|Unused|NULL|Y
r10a|2r10a|2020-12-02 16:34:49.663|2020-12-10 14:37:36.513|Fatal|NULL|N
r10b|2r10b|2020-12-02 16:59:15.660|2020-12-10 14:37:42.127|Fatal|NULL|N
r10c|2r10c|2020-12-02 16:59:24.130|2020-12-10 14:37:12.220|Explanation|Commented out|Y
r10d|2r10d|2020-12-02 16:59:33.190|2020-12-10 14:37:21.480|Explanation|Commented out|Y
r10e|2r10e|2020-12-08 12:43:14.000|2020-12-10 14:16:35.260|Unused|NULL|Y
r11a|2r11a|2020-12-02 16:34:59.127|NULL|Fatal|NULL|N
