Table_Name|Table_Order|Created_Date|Modified_Date|Results|Notes|Inactive
uc01a|1uc01a|2023-08-11 00:00:00.000|NULL|Fatal|NULL|N
uc04a|1uc04a|2023-08-11 00:00:00.000|NULL|Fatal|NULL|N
uc04b|1uc04b|2023-08-11 00:00:00.000|NULL|Fatal|NULL|N
uc05a|1uc05a|2023-08-11 00:00:00.000|NULL|Explanation|NULL|N
uc05b|1uc05b|2023-08-11 00:00:00.000|NULL|Explanation|NULL|N
uc05c|1uc05c|2023-08-11 00:00:00.000|NULL|Fatal|NULL|N
uc07a|1uc07a|2023-08-11 00:00:00.000|NULL|Fatal|NULL|N
uc07b|1uc07b|2023-08-11 00:00:00.000|NULL|Fatal|NULL|N
uc08a|1uc08a|2023-08-11 00:00:00.000|NULL|Explanation|NULL|N
uc08b|1uc08b|2023-08-11 00:00:00.000|NULL|Fatal|NULL|N
uc12a|1uc12a|2023-08-29 14:31:36.733|NULL|Explanation|NULL|N
uc12b|1uc12b|2023-08-29 14:31:36.733|NULL|Fatal|NULL|N
uc12c|1uc12c|2023-08-29 14:31:36.733|NULL|Fatal|NULL|N
uc12d|1uc12d|2023-08-29 14:31:36.733|NULL|Explanation|NULL|N
uc12e|1uc12e|2023-08-29 14:31:36.733|NULL|Fatal|NULL|N
uc13a|1uc13a|2023-08-11 00:00:00.000|NULL|Fatal|NULL|N
uc21a|1uc21a|2023-08-30 11:35:19.073|NULL|Fatal|NULL|N
uc21b|1uc21b|2023-08-30 11:35:19.073|NULL|Fatal|NULL|N
uc68a|1uc68a|2023-08-11 00:00:00.000|NULL|Fatal|NULL|N
uc91a|1uc91a|2023-08-11 00:00:00.000|NULL|Fatal|NULL|N
uc91b|1uc91b|2023-08-11 00:00:00.000|NULL|Fatal|NULL|N
uc99a|1uc99a|2023-08-11 00:00:00.000|NULL|Fatal|NULL|N
ue01a|2ue01a|2023-08-11 00:00:00.000|NULL|Fatal|NULL|N
ue04a|2ue04a|2023-08-11 00:00:00.000|NULL|Fatal|NULL|N
ue04b|2ue04b|2023-08-11 00:00:00.000|NULL|Fatal|NULL|N
ue05a|2ue05a|2023-08-11 00:00:00.000|NULL|Explanation|NULL|N
ue05b|2ue05b|2023-08-11 00:00:00.000|NULL|Explanation|NULL|N
ue05c|2ue05c|2023-08-11 00:00:00.000|NULL|Fatal|NULL|N
ue06a|2ue06a|2023-08-11 00:00:00.000|NULL|Explanation|NULL|N
ue06b|2ue06b|2023-08-11 00:00:00.000|NULL|Fatal|NULL|N
ue06c|2ue06c|2023-08-11 00:00:00.000|NULL|Count|NULL|N
ue06d|2ue06d|2023-08-11 00:00:00.000|NULL|Count|NULL|N
ue07a|2ue07a|2023-08-11 00:00:00.000|NULL|Explanation|NULL|N
ue07b|2ue07b|2023-08-11 00:00:00.000|NULL|Fatal|NULL|N
ue08a|2ue08a|2023-08-11 00:00:00.000|NULL|Explanation|NULL|N
ue08b|2ue08b|2023-08-11 00:00:00.000|NULL|Fatal|NULL|N
ue09a|2ue09a|2023-08-11 00:00:00.000|NULL|Fatal|NULL|N
ue10a|2ue10a|2023-08-11 00:00:00.000|NULL|Fatal|NULL|N
ue11a|2ue11a|2023-08-11 00:00:00.000|NULL|Explantion|NULL|N
ue12a|2ue12a|2023-08-11 00:00:00.000|NULL|Explanation|NULL|N
ue12b|2ue12b|2023-08-11 00:00:00.000|NULL|Fatal|NULL|N
ue12c|2ue12c|2023-08-11 00:00:00.000|NULL|Fatal|NULL|N
ue12d|2ue12d|2023-08-11 00:00:00.000|NULL|Explanation|NULL|N
ue12e|2ue12e|2023-08-11 00:00:00.000|NULL|Fatal|NULL|N
ue13a|2ue13a|2023-08-11 00:00:00.000|NULL|Fatal|NULL|N
ue15a|2ue15a|2023-08-11 00:00:00.000|NULL|Fatal|NULL|N
ue16a|2ue16a|2023-08-11 00:00:00.000|NULL|Explanation|NULL|N
ue16b|2ue16b|2023-08-11 00:00:00.000|NULL|Explanation|NULL|N
ue16c|2ue16c|2023-08-11 00:00:00.000|NULL|Count|NULL|N
ue17a|2ue17a|2023-08-11 00:00:00.000|NULL|Fatal|NULL|N
ue17b|2ue17b|2023-08-11 00:00:00.000|NULL|Count|NULL|N
ue18a|2ue18a|2023-08-11 00:00:00.000|NULL|Fatal|NULL|N
ue18b|2ue18b|2023-08-11 00:00:00.000|NULL|Count|NULL|N
ue19a|2ue19a|2023-08-30 11:35:19.073|NULL|Fatal|NULL|N
ue19b|2ue19b|2023-08-30 11:35:19.073|NULL|Fatal|NULL|N
ue21a|2ue21a|2023-08-30 11:35:19.073|NULL|Fatal|NULL|N
ue21b|2ue21b|2023-08-30 11:35:19.073|NULL|Fatal|NULL|N
ue21c|2ue21c|2023-08-30 11:35:19.073|NULL|Fatal|NULL|N
ue21d|2ue21d|2023-08-30 11:35:19.073|NULL|Fatal|NULL|N
ue39a|2ue39a|2023-08-11 00:00:00.000|NULL|Fatal|NULL|N
ue40a|2ue40a|2023-08-11 00:00:00.000|NULL|Fatal|NULL|N
ue40b|2ue40b|2023-08-11 00:00:00.000|NULL|Fatal|NULL|N
ue67a|2ue67a|2023-09-26 10:26:10.673|NULL|Fatal|NULL|N
ue67b|2ue67b|2023-10-13 15:19:46.847|2023-10-17 09:19:47.280|Explanation|NULL|N
ue68a|2ue68a|2023-09-26 10:26:10.673|NULL|Fatal|NULL|N
ue89a|2ue89a|2023-08-11 00:00:00.000|NULL|Fatal|NULL|N
ue89b|2ue89b|2023-08-11 00:00:00.000|NULL|Fatal|NULL|N
ue99a|2ue99a|2023-08-11 00:00:00.000|NULL|Fatal|NULL|N
